##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 401600                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.48
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 180.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.5 M/S       PATM=    99900.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 313.1 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.515      0.12     0.513     0.0       28.96
              0.23     0.517      0.02     0.516     0.0       29.11
              0.24     0.520     -0.07     0.518     0.0       29.26
              0.25     0.523     -0.13     0.521     0.0       29.43
              0.25     0.526     -0.19     0.524     0.0       29.61
              0.27     0.528     -0.22     0.526     0.0       29.70
              0.29     0.534     -0.25     0.532     0.0       30.04
              0.30     0.540     -0.23     0.539     0.0       30.42
              0.33     0.544     -0.14     0.543     0.0       30.65
              0.34     0.548     -0.14     0.547     0.0       30.85
              0.39     0.554     -0.13     0.552     0.0       31.19
              0.43     0.561     -0.15     0.560     0.0       31.59
              0.47     0.564     -0.19     0.563     0.0       31.76
              0.50     0.571     -0.23     0.570     0.0       32.16
              0.60     0.583     -0.16     0.582     0.0       32.85
              0.70     0.594     -0.10     0.593     0.0       33.48
              0.80     0.603     -0.13     0.601     0.0       33.94
              0.90     0.612     -0.17     0.610     0.0       34.45
              1.00     0.619     -0.16     0.617     0.0       34.84
              1.10     0.625     -0.11     0.624     0.0       35.21
              1.20     0.634     -0.10     0.633     0.0       35.71
              1.40     0.649     -0.06     0.647     0.0       36.54
              1.60     0.661     -0.08     0.660     0.0       37.24
              1.80     0.670     -0.11     0.668     0.0       37.73
              2.00     0.681     -0.06     0.679     0.0       38.35
              2.20     0.691     -0.08     0.690     0.0       38.93
              2.70     0.711     -0.10     0.710     0.0       40.08
              3.20     0.729     -0.11     0.728     0.0       41.10
              3.70     0.751     -0.09     0.750     0.0       42.33
              4.20     0.769     -0.10     0.768     0.0       43.33
              4.70     0.783     -0.11     0.782     0.0       44.14
              5.20     0.802     -0.10     0.801     0.0       45.19
              5.70     0.811     -0.10     0.810     0.0       45.70
              6.20     0.829     -0.15     0.828     0.0       46.73
              6.70     0.839     -0.16     0.838     0.0       47.33
              7.20     0.854     -0.12     0.854     0.0       48.19
              7.70     0.865     -0.07     0.864     0.0       48.77
              8.20     0.876     -0.10     0.875     0.0       49.41
              8.70     0.885     -0.19     0.885     0.0       49.93
              9.20     0.896     -0.20     0.895     0.0       50.53
              9.70     0.906     -0.16     0.906     0.0       51.14
             10.20     0.916     -0.15     0.916     0.0       51.68
             11.20     0.931     -0.18     0.930     0.0       52.51
             12.20     0.945     -0.19     0.945     0.0       53.34
             13.20     0.959     -0.25     0.959     0.0       54.14
             14.20     0.971     -0.32     0.971     0.0       54.81
             15.20     0.979     -0.25     0.979     0.0       55.25
             16.20     0.988     -0.17     0.988     0.0       55.77
             18.20     0.996     -0.26     0.996     0.0       56.23
             20.20     1.000     -0.30     1.000     0.0       56.45
