##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 123500                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.64
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI=  60.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    98900.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 310.0 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.546     18.90     0.514     0.176     30.57
              0.23     0.547     18.82     0.515     0.176     30.61
              0.24     0.547     18.80     0.515     0.175     30.61
              0.24     0.547     18.81     0.515     0.175     30.61
              0.25     0.547     18.81     0.515     0.176     30.62
              0.26     0.546     18.84     0.514     0.176     30.57
              0.28     0.546     18.89     0.514     0.176     30.55
              0.29     0.546     18.88     0.514     0.176     30.56
              0.31     0.546     18.90     0.514     0.176     30.56
              0.34     0.545     18.92     0.513     0.176     30.51
              0.35     0.546     18.91     0.515     0.176     30.61
              0.39     0.563     17.93     0.533     0.173     31.53
              0.44     0.578     17.10     0.551     0.169     32.41
              0.48     0.592     16.49     0.566     0.167     33.18
              0.51     0.602     16.19     0.576     0.167     33.73
              0.61     0.622     15.67     0.597     0.167     34.87
              0.71     0.637     15.40     0.612     0.169     35.72
              0.81     0.652     15.16     0.627     0.170     36.56
              0.91     0.666     14.92     0.642     0.171     37.35
              1.01     0.675     14.85     0.651     0.173     37.85
              1.11     0.686     14.74     0.662     0.174     38.50
              1.21     0.698     14.66     0.674     0.176     39.15
              1.41     0.721     14.47     0.697     0.180     40.48
              1.61     0.739     14.36     0.715     0.183     41.50
              1.81     0.754     14.26     0.729     0.185     42.32
              2.01     0.767     14.17     0.743     0.187     43.08
              2.21     0.779     14.11     0.755     0.190     43.76
              2.71     0.807     14.00     0.782     0.195     45.32
              3.21     0.832     13.88     0.807     0.199     46.75
              3.71     0.855     13.74     0.830     0.203     48.05
              4.21     0.874     13.67     0.848     0.206     49.11
              4.71     0.894     13.57     0.869     0.210     50.24
              5.21     0.913     13.44     0.888     0.212     51.32
              5.71     0.928     13.36     0.902     0.214     52.16
              6.21     0.943     13.28     0.917     0.216     52.98
              6.71     0.955     13.24     0.929     0.219     53.68
              7.21     0.966     13.19     0.940     0.220     54.30
              7.71     0.976     13.18     0.950     0.222     54.85
              8.21     0.982     13.20     0.956     0.224     55.23
              8.71     0.988     13.22     0.962     0.226     55.55
              9.21     0.994     13.20     0.967     0.227     55.88
              9.71     0.997     13.30     0.970     0.229     56.06
             10.21     1.000     13.40     0.973     0.232     56.24
