## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   GOETTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    3MX3M LOW SPEED WIND TUNNEL       ARTIFICIAL TRANSITION AT X0/2A= 0.2
# 
#    RUN: 0   3 5                             INCIDENCE  ALPHA= 10.0 DEG.
# 
#    VELOCITY  UINF= 55.0 M/S                 REYNOLDS N0.  RE= 0.770E+07
# 
#    MEASURING STATION:    NO. 11  ,  X0/2A= 0.883
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.2  0.00422  -2.8    
   -1.8  0.00427  -2.0    
    0.6  0.00429  -1.0    
    3.0  0.00430  -0.5    
    5.4  0.00428   0.5    
    7.8  0.00426   1.5    
   10.2  0.00431   2.1    
   12.6  0.00425   2.8    
   15.0  0.00440   3.6    
   17.4  0.00441   4.6    
   19.8  0.00436   5.3    
   22.2  0.00434   6.0    
   24.6  0.00433   7.0    
   27.0  0.00426   7.5    
   29.4  0.00428   8.0    
   31.8  0.00426   9.0    
   34.2  0.00419   9.4    
   35.8  0.00415  10.1    
   39.0  0.00413  10.7    
   41.4  0.00403  11.3    
   43.8  0.00400  11.8    
   46.2  0.00394  12.4    
   48.6  0.00391  12.4    
   50.2  0.00382  13.2    
   52.6  0.00385  13.4    
   55.8  0.00378  13.8    
   58.2  0.00370  13.9    
   60.6  0.00367  13.9    
   63.0  0.00364  13.9    
   65.4  0.00352  14.1    
   67.8  0.00350  13.9    
   70.2  0.00343  13.7    
   72.6  0.00335  13.4    
   75.0  0.00324  12.9    
   77.4  0.00314  12.3    
   79.8  0.00307  11.6    
   82.2  0.00298  11.0    
   84.6  0.00286   9.9    
   87.0  0.00275   8.7    
   89.4  0.00266   7.4
   91.8  0.00253   6.2
   94.2  0.00233   4.3
   96.6  0.00222   2.8
   99.0  0.00207   1.0
  101.4  0.00195  -0.5
  103.8  0.00178  -1.9
  106.2  0.00162  -3.5
  108.6  0.00145  -4.3
  111.0  0.00132  -5.4
  113.4  0.00120  -6.1
  115.8  0.00105  -6.3
  118.2  0.00092  -7.6
  120.6  0.00086  -7.8
  123.0  0.00078  -8.9
  125.4  0.00077  -9.7
  127.8  0.00081 -10.2
  129.4  0.00087 -10.1
  132.6  0.00100  -9.5
  135.0  0.00108  -8.7
  137.4  0.00125  -8.6
  139.8  0.00140  -8.6
  142.2  0.00166 -10.0
  144.6  0.00193 -11.0
  147.0  0.00218 -12.1
  149.4  0.00244 -13.1
  151.8  0.00266 -14.1
  154.2  0.00283 -15.1
  156.6  0.00298 -15.5
  159.0  0.00311 -15.4
  161.4  0.00319 -15.0
  163.8  0.00325 -14.2
  166.2  0.00331 -12.9
  168.6  0.00334 -11.7
  171.0  0.00337 -10.3
  173.4  0.00345  -7.8
  175.8  0.00350  -5.7
  178.2  0.00345  -4.1
  180.6  0.00346  -1.6
  183.0  0.00345   0.3
