## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   GOETTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    3MX3M LOW SPEED WIND TUNNEL       ARTIFICIAL TRANSITION AT X0/2A= 0.2
# 
#    RUN: 0   3 5                             INCIDENCE  ALPHA= 10.0 DEG.
# 
#    VELOCITY  UINF= 55.0 M/S                 REYNOLDS N0.  RE= 0.770E+07
# 
#    MEASURING STATION:    NO.  2  ,  X0/2A= 0.139
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.2  0.00122  -3.6    
   -1.8  0.00125  -1.9    
    0.6  0.00127  -0.2    
    3.0  0.00128   1.2    
    5.4  0.00129   3.0    
    7.8  0.00131   4.6    
   10.2  0.00133   5.8    
   12.6  0.00133   7.0    
   15.0  0.00137   8.4    
   17.4  0.00140   9.8    
   19.8  0.00140  11.1    
   22.2  0.00142  12.2    
   24.6  0.00143  13.7    
   27.0  0.00143  14.8    
   29.4  0.00146  16.0    
   31.8  0.00148  17.0    
   34.2  0.00148  18.1    
   35.8  0.00148  18.7    
   39.0  0.00149  19.8    
   41.4  0.00149  20.4    
   43.8  0.00150  21.5    
   46.2  0.00150  22.1    
   48.6  0.00151  23.0    
   50.2  0.00150  23.8    
   52.6  0.00152  24.5    
   55.8  0.00152  24.9    
   58.2  0.00151  25.5    
   60.6  0.00153  25.9    
   63.0  0.00153  26.4    
   65.4  0.00151  26.6    
   67.8  0.00152  26.8    
   70.2  0.00151  27.2    
   72.6  0.00151  27.2    
   75.0  0.00148  27.6    
   77.4  0.00147  27.6    
   79.8  0.00146  27.8    
   82.2  0.00145  27.8    
   84.6  0.00143  27.5    
   87.0  0.00142  27.3    
   89.4  0.00141  27.5
   91.8  0.00140  27.3
   94.2  0.00137  26.6
   96.6  0.00135  26.2
   99.0  0.00133  26.2
  101.4  0.00132  25.7
  103.8  0.00128  25.0
  106.2  0.00126  24.6
  108.6  0.00124  24.3
  111.0  0.00121  23.6
  113.4  0.00119  23.1
  115.8  0.00114  22.5
  118.2  0.00111  21.8
  120.6  0.00108  21.2
  123.0  0.00103  20.2
  125.4  0.00100  18.9
  127.8  0.00096  18.1
  129.4  0.00093  17.3
  132.6  0.00091  16.0
  135.0  0.00087  15.1
  137.4  0.00084  13.7
  139.8  0.00081  12.8
  142.2  0.00077  11.3
  144.6  0.00075   9.9
  147.0  0.00074   8.9
  149.4  0.00072   7.9
  151.8  0.00070   6.7
  154.2  0.00068   5.8
  156.6  0.00066   4.9
  159.0  0.00066   4.0
  161.4  0.00066   3.3
  163.8  0.00066   2.5
  166.2  0.00067   1.9
  168.6  0.00067   1.7
  171.0  0.00067   1.2
  173.4  0.00068   1.0
  175.8  0.00068   0.8
  178.2  0.00069   1.2
  180.6  0.00069   0.9
  183.0  0.00068   0.3
