##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 404300                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.56
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI=  30.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.2 M/S       PATM=    99660.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 314.8 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.599     10.15     0.588     0.105     33.70
              0.23     0.601     10.21     0.590     0.106     33.82
              0.24     0.608     10.07     0.597     0.106     34.19
              0.24     0.612      9.91     0.601     0.105     34.42
              0.25     0.615      9.76     0.604     0.104     34.59
              0.27     0.617      9.90     0.606     0.106     34.70
              0.28     0.624      9.85     0.612     0.106     35.07
              0.29     0.627      9.90     0.616     0.108     35.28
              0.32     0.633      9.88     0.621     0.108     35.58
              0.34     0.637      9.94     0.625     0.110     35.81
              0.35     0.646      9.79     0.634     0.109     36.33
              0.39     0.651      9.85     0.640     0.111     36.66
              0.44     0.659      9.77     0.648     0.112     37.10
              0.48     0.667      9.72     0.655     0.112     37.51
              0.52     0.673      9.68     0.662     0.113     37.89
              0.62     0.688      9.67     0.676     0.115     38.70
              0.72     0.700      9.74     0.689     0.118     39.42
              0.82     0.715      9.66     0.703     0.120     40.25
              0.92     0.726      9.55     0.715     0.120     40.90
              1.02     0.733      9.48     0.722     0.120     41.28
              1.12     0.746      9.35     0.734     0.121     41.99
              1.22     0.752      9.43     0.741     0.123     42.37
              1.42     0.768      9.47     0.756     0.126     43.27
              1.62     0.783      9.38     0.771     0.127     44.10
              1.82     0.798      9.30     0.786     0.129     44.94
              2.02     0.809      9.26     0.797     0.130     45.58
              2.22     0.822      9.21     0.810     0.131     46.31
              2.72     0.848      9.09     0.836     0.134     47.76
              3.22     0.871      9.01     0.859     0.136     49.10
              3.72     0.891      8.88     0.880     0.137     50.23
              4.22     0.909      8.83     0.898     0.139     51.25
              4.72     0.929      8.66     0.918     0.140     52.37
              5.22     0.946      8.57     0.935     0.141     53.36
              5.72     0.959      8.50     0.948     0.142     54.06
              6.22     0.972      8.38     0.961     0.142     54.79
              6.72     0.981      8.24     0.970     0.141     55.30
              7.22     0.988      8.17     0.978     0.140     55.72
              7.72     0.993      8.13     0.983     0.140     56.02
              8.22     0.996      8.09     0.986     0.140     56.18
              8.72     0.997      8.06     0.987     0.140     56.25
              9.22     0.998      8.06     0.988     0.140     56.31
              9.72     0.995      8.13     0.985     0.141     56.15
             10.22     0.997      8.10     0.987     0.140     56.25
             11.22     0.997      8.06     0.987     0.140     56.27
             12.22     0.996      8.05     0.986     0.139     56.18
             13.22     0.998      8.04     0.988     0.140     56.31
             14.22     1.000      8.00     0.990     0.139     56.42
