## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   GOETTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    3MX3M LOW SPEED WIND TUNNEL       ARTIFICIAL TRANSITION AT X0/2A= 0.2
# 
#    RUN: 0   3 5                             INCIDENCE  ALPHA= 10.0 DEG.
# 
#    VELOCITY  UINF= 55.0 M/S                 REYNOLDS N0.  RE= 0.770E+07
# 
#    MEASURING STATION:    NO.  6  ,  X0/2A= 0.480
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.2  0.00410  -1.7    
   -1.8  0.00408  -1.2    
    0.6  0.00411  -0.1    
    3.0  0.00413   1.0    
    5.4  0.00414   2.1    
    7.8  0.00416   3.0    
   10.2  0.00415   3.8    
   12.6  0.00418   4.6    
   15.0  0.00423   5.5    
   17.4  0.00427   6.6    
   19.8  0.00427   7.5    
   22.2  0.00426   8.3    
   24.6  0.00429   9.1    
   27.0  0.00434  10.0    
   29.4  0.00432  11.0    
   31.8  0.00433  11.4    
   34.2  0.00436  11.9    
   36.6  0.00434  12.6    
   39.0  0.00438  13.7    
   41.4  0.00439  14.2    
   43.8  0.00437  15.1    
   46.2  0.00434  15.4    
   48.6  0.00433  16.1    
   51.0  0.00437  16.6    
   53.4  0.00441  17.1    
   55.8  0.00435  17.3    
   58.2  0.00438  17.8    
   60.6  0.00439  18.5    
   63.0  0.00438  18.7    
   65.4  0.00437  18.9    
   67.8  0.00435  19.2    
   70.2  0.00437  19.6    
   72.6  0.00431  19.7    
   75.0  0.00442  19.7    
   77.4  0.00444  19.7    
   79.8  0.00436  19.9    
   82.2  0.00433  19.7    
   84.6  0.00430  19.9    
   87.0  0.00423  19.9    
   89.4  0.00427  19.9
   91.8  0.00423  19.7
   94.2  0.00414  19.5
   95.8  0.00408  19.3
   99.0  0.00404  18.9
  101.4  0.00396  18.7
  103.8  0.00390  18.4
  106.2  0.00385  17.8
  108.6  0.00380  17.4
  110.2  0.00371  16.8
  112.6  0.00368  16.5
  115.8  0.00362  15.9
  118.2  0.00350  15.3
  120.6  0.00346  14.3
  123.0  0.00341  13.7
  125.4  0.00330  13.1
  127.8  0.00325  12.1
  130.2  0.00318  11.3
  132.6  0.00310  10.5
  135.0  0.00300   9.2
  137.4  0.00294   8.4
  139.8  0.00289   7.6
  142.2  0.00285   6.7
  144.6  0.00279   5.7
  147.0  0.00277   5.0
  149.4  0.00275   4.0
  151.8  0.00274   3.4
  154.2  0.00272   2.5
  156.6  0.00273   2.4
  159.0  0.00277   1.6
  161.4  0.00277   1.4
  163.8  0.00276   0.8
  166.2  0.00281   1.1
  168.6  0.00281   0.3
  171.0  0.00287   0.2
  173.4  0.00293  -0.1
  175.8  0.00297   0.5
  178.2  0.00301   0.6
  180.6  0.00302   1.0
  183.0  0.00297   1.3
