##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 124100                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.64
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 140.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    98989.9 PA
# 
#     FREE STREAM TEMPERATURE TO= 313.1 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.397      1.08     0.395     0.007     21.78
              0.23     0.399      1.01     0.397     0.007     21.89
              0.24     0.399      0.98     0.397     0.007     21.88
              0.24     0.403      0.94     0.402     0.007     22.14
              0.25     0.405      0.96     0.403     0.007     22.22
              0.26     0.409      0.85     0.408     0.006     22.46
              0.28     0.412      0.89     0.411     0.006     22.62
              0.29     0.420      0.85     0.418     0.006     23.05
              0.31     0.421      0.77     0.420     0.006     23.12
              0.34     0.425      0.66     0.423     0.005     23.32
              0.35     0.431      0.71     0.429     0.005     23.64
              0.39     0.435      0.83     0.433     0.006     23.88
              0.44     0.443      0.85     0.441     0.007     24.30
              0.48     0.446      0.81     0.444     0.006     24.48
              0.51     0.448      0.81     0.447     0.006     24.63
              0.61     0.458      0.90     0.457     0.007     25.18
              0.71     0.469      0.97     0.468     0.008     25.79
              0.81     0.474      1.01     0.472     0.008     26.03
              0.91     0.480      0.92     0.479     0.008     26.40
              1.01     0.485      0.95     0.484     0.008     26.64
              1.11     0.492      1.01     0.491     0.009     27.05
              1.21     0.497      1.26     0.495     0.011     27.29
              1.41     0.508      1.53     0.507     0.014     27.93
              1.61     0.518      1.67     0.517     0.015     28.48
              1.81     0.526      1.72     0.524     0.016     28.91
              2.01     0.533      2.03     0.531     0.019     29.29
              2.21     0.544      2.14     0.543     0.020     29.93
              2.71     0.559      2.44     0.557     0.024     30.73
              3.21     0.573      2.74     0.571     0.027     31.50
              3.71     0.587      3.24     0.585     0.033     32.28
              4.21     0.601      3.66     0.599     0.038     33.06
              4.71     0.614      4.03     0.611     0.043     33.77
              5.21     0.628      4.48     0.625     0.049     34.55
              5.71     0.643      4.94     0.640     0.055     35.38
              6.21     0.653      5.38     0.649     0.061     35.91
              6.71     0.665      5.62     0.661     0.065     36.60
              7.21     0.675      6.09     0.670     0.071     37.13
              7.71     0.692      6.43     0.686     0.077     38.05
              8.21     0.702      6.80     0.696     0.083     38.62
              8.71     0.710      7.12     0.704     0.088     39.07
              9.21     0.724      7.44     0.717     0.094     39.84
              9.71     0.736      7.84     0.728     0.100     40.47
             10.21     0.746      8.09     0.737     0.105     41.03
             11.21     0.767      8.53     0.758     0.114     42.22
             12.21     0.787      9.00     0.776     0.123     43.30
             13.21     0.810      9.28     0.799     0.130     44.60
             14.21     0.827      9.63     0.814     0.138     45.52
             15.21     0.850      9.81     0.837     0.145     46.79
             16.21     0.868     10.08     0.854     0.152     47.81
             18.21     0.907     10.20     0.892     0.161     49.95
             20.21     0.933     10.44     0.917     0.169     51.37
             22.21     0.961     10.39     0.945     0.173     52.94
             24.21     0.980     10.39     0.964     0.177     53.98
             26.21     0.994     10.30     0.978     0.178     54.76
             28.21     1.000     10.17     0.984     0.177     55.10
