##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 124000                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.64
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 137.6 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    98989.9 PA
# 
#     FREE STREAM TEMPERATURE TO= 312.6 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.401      2.04     0.399     0.014     22.07
              0.23     0.405      2.08     0.403     0.015     22.29
              0.24     0.405      2.15     0.404     0.015     22.30
              0.24     0.411      2.10     0.409     0.015     22.59
              0.25     0.413      2.08     0.412     0.015     22.75
              0.26     0.414      2.09     0.413     0.015     22.80
              0.28     0.419      1.99     0.418     0.015     23.07
              0.29     0.424      2.01     0.422     0.015     23.33
              0.31     0.429      1.88     0.428     0.014     23.62
              0.34     0.431      1.84     0.430     0.014     23.74
              0.35     0.437      1.76     0.435     0.013     24.03
              0.39     0.443      1.83     0.441     0.014     24.36
              0.44     0.446      1.87     0.445     0.014     24.56
              0.48     0.453      1.86     0.451     0.015     24.91
              0.51     0.457      1.84     0.455     0.015     25.13
              0.61     0.465      1.89     0.464     0.015     25.62
              0.71     0.472      1.97     0.471     0.016     26.00
              0.81     0.482      2.06     0.480     0.017     26.52
              0.91     0.489      2.11     0.488     0.018     26.94
              1.01     0.494      2.27     0.492     0.020     27.20
              1.11     0.503      2.38     0.501     0.021     27.67
              1.21     0.506      2.41     0.504     0.021     27.86
              1.41     0.513      2.49     0.511     0.022     28.26
              1.61     0.525      2.51     0.523     0.023     28.90
              1.81     0.533      2.81     0.531     0.026     29.33
              2.01     0.545      2.97     0.543     0.028     30.04
              2.21     0.549      3.13     0.547     0.030     30.24
              2.71     0.565      3.39     0.563     0.033     31.13
              3.21     0.583      3.97     0.580     0.040     32.11
              3.71     0.603      4.43     0.600     0.046     33.23
              4.21     0.613      4.94     0.610     0.053     33.80
              4.71     0.630      5.24     0.626     0.057     34.70
              5.21     0.642      5.70     0.638     0.064     35.37
              5.71     0.656      6.01     0.651     0.069     36.16
              6.21     0.667      6.38     0.662     0.074     36.77
              6.71     0.679      6.85     0.673     0.081     37.41
              7.21     0.693      7.25     0.686     0.087     38.18
              7.71     0.704      7.65     0.696     0.094     38.80
              8.21     0.720      7.84     0.712     0.098     39.69
              8.71     0.728      8.19     0.719     0.104     40.14
              9.21     0.738      8.39     0.729     0.108     40.71
              9.71     0.750      8.67     0.740     0.113     41.36
             10.21     0.763      8.90     0.753     0.118     42.09
             11.21     0.785      9.25     0.774     0.126     43.30
             12.21     0.804      9.62     0.792     0.134     44.35
             13.21     0.827      9.92     0.814     0.142     45.60
             14.21     0.851     10.08     0.837     0.149     46.94
             15.21     0.864     10.31     0.850     0.155     47.69
             16.21     0.884     10.37     0.869     0.159     48.78
             18.21     0.918     10.63     0.902     0.169     50.68
             20.21     0.950     10.71     0.933     0.176     52.43
             22.21     0.973     10.74     0.955     0.181     53.68
             24.21     0.991     10.58     0.974     0.182     54.69
             26.21     0.996     10.55     0.979     0.182     54.97
             28.21     1.000     10.45     0.983     0.181     55.21
