##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 123800                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.64
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 129.6 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    98910.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 311.5 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.430      6.10     0.426     0.046     23.77
              0.23     0.430      6.12     0.426     0.046     23.77
              0.24     0.432      6.09     0.428     0.046     23.89
              0.24     0.433      6.09     0.429     0.046     23.93
              0.25     0.440      5.93     0.436     0.045     24.30
              0.27     0.441      5.94     0.437     0.046     24.39
              0.28     0.444      5.91     0.440     0.046     24.54
              0.29     0.452      5.67     0.449     0.045     25.01
              0.32     0.454      5.69     0.451     0.045     25.12
              0.34     0.461      5.66     0.457     0.045     25.47
              0.35     0.466      5.63     0.462     0.046     25.75
              0.39     0.470      5.60     0.466     0.046     25.99
              0.44     0.476      5.64     0.472     0.047     26.31
              0.48     0.481      5.67     0.477     0.047     26.61
              0.52     0.486      5.59     0.482     0.047     26.85
              0.62     0.495      5.66     0.491     0.049     27.36
              0.72     0.507      5.78     0.503     0.051     28.06
              0.82     0.516      6.00     0.511     0.054     28.51
              0.92     0.521      6.02     0.516     0.054     28.81
              1.02     0.526      5.98     0.522     0.055     29.12
              1.12     0.533      6.03     0.529     0.056     29.50
              1.22     0.540      6.19     0.535     0.058     29.88
              1.42     0.551      6.39     0.546     0.061     30.49
              1.62     0.563      6.48     0.558     0.063     31.13
              1.82     0.571      6.70     0.566     0.067     31.62
              2.02     0.582      6.88     0.577     0.070     32.22
              2.22     0.587      7.03     0.582     0.072     32.52
              2.72     0.605      7.43     0.599     0.078     33.50
              3.22     0.627      7.84     0.620     0.085     34.71
              3.72     0.645      8.27     0.637     0.093     35.70
              4.22     0.660      8.59     0.652     0.098     36.58
              4.72     0.676      8.98     0.666     0.105     37.42
              5.22     0.694      9.27     0.683     0.112     38.42
              5.72     0.707      9.59     0.696     0.118     39.18
              6.22     0.722      9.82     0.711     0.123     40.01
              6.72     0.737     10.05     0.725     0.128     40.85
              7.22     0.749     10.36     0.736     0.135     41.50
              7.72     0.766     10.38     0.753     0.138     42.46
              8.22     0.777     10.64     0.762     0.143     43.03
              8.72     0.790     10.70     0.775     0.146     43.78
              9.22     0.800     10.84     0.785     0.150     44.34
              9.72     0.811     10.94     0.796     0.154     44.96
             10.22     0.824     10.99     0.808     0.157     45.69
             11.22     0.845     11.24     0.828     0.164     46.82
             12.22     0.868     11.43     0.850     0.172     48.13
             13.22     0.890     11.55     0.872     0.178     49.37
             14.22     0.908     11.68     0.888     0.184     50.34
             15.22     0.926     11.80     0.906     0.189     51.36
             16.22     0.946     11.88     0.925     0.195     52.47
             18.22     0.972     12.02     0.951     0.202     53.92
             20.22     0.989     12.02     0.967     0.206     54.85
             22.22     0.998     11.99     0.977     0.207     55.39
             24.22     1.000     12.00     0.978     0.208     55.48
