##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 125700                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.73
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 120.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    99980.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 310.9 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.416      5.74     0.412     0.041     22.58
              0.23     0.419      5.52     0.415     0.040     22.72
              0.24     0.419      5.44     0.415     0.040     22.70
              0.24     0.420      5.40     0.417     0.039     22.80
              0.25     0.425      5.44     0.421     0.040     23.04
              0.26     0.429      5.35     0.425     0.040     23.26
              0.28     0.430      5.27     0.426     0.039     23.33
              0.29     0.435      5.33     0.431     0.040     23.59
              0.31     0.442      5.35     0.439     0.041     24.00
              0.34     0.446      5.39     0.443     0.042     24.21
              0.35     0.451      5.45     0.448     0.043     24.49
              0.39     0.459      5.52     0.456     0.044     24.93
              0.44     0.464      5.66     0.460     0.046     25.20
              0.48     0.473      5.68     0.469     0.047     25.67
              0.51     0.476      5.69     0.472     0.047     25.86
              0.61     0.488      5.77     0.484     0.049     26.51
              0.71     0.499      5.87     0.495     0.051     27.11
              0.81     0.508      6.04     0.503     0.053     27.57
              0.91     0.514      5.99     0.510     0.054     27.93
              1.01     0.520      6.11     0.516     0.055     28.25
              1.11     0.530      6.17     0.526     0.057     28.80
              1.21     0.535      6.49     0.530     0.060     29.04
              1.41     0.549      6.45     0.544     0.061     29.81
              1.61     0.556      6.90     0.550     0.067     30.18
              1.81     0.572      6.97     0.567     0.069     31.10
              2.01     0.579      7.21     0.573     0.072     31.46
              2.21     0.585      7.44     0.579     0.076     31.78
              2.71     0.607      8.01     0.599     0.084     32.97
              3.21     0.628      8.41     0.620     0.092     34.13
              3.71     0.643      9.06     0.634     0.101     34.97
              4.21     0.665      9.34     0.655     0.108     36.16
              4.71     0.677      9.95     0.665     0.117     36.80
              5.21     0.696     10.21     0.683     0.123     37.82
              5.71     0.710     10.56     0.697     0.130     38.63
              6.21     0.722     10.88     0.707     0.136     39.23
              6.71     0.737     11.14     0.722     0.142     40.07
              7.21     0.750     11.41     0.734     0.148     40.77
              7.71     0.761     11.79     0.744     0.155     41.39
              8.21     0.778     11.94     0.760     0.161     42.33
              8.71     0.788     12.36     0.769     0.168     42.86
              9.21     0.806     12.35     0.786     0.172     43.82
              9.71     0.811     12.69     0.790     0.178     44.13
             10.21     0.827     12.73     0.806     0.182     45.00
             11.21     0.848     13.13     0.825     0.192     46.16
             12.21     0.873     13.28     0.849     0.200     47.53
             13.21     0.891     13.58     0.866     0.209     48.52
             14.21     0.911     13.72     0.885     0.216     49.60
             15.21     0.926     13.91     0.899     0.223     50.43
             16.21     0.942     14.00     0.913     0.228     51.28
             18.21     0.968     14.14     0.939     0.237     52.74
             20.21     0.987     14.18     0.956     0.242     53.73
             22.21     0.997     14.15     0.966     0.244     54.29
             24.21     0.999     14.13     0.969     0.244     54.43
             26.21     1.000     14.04     0.970     0.243     54.48
