# CP-NWG,  ALPHA= 10 DEG., RE= 7.7 MIO.
# 
# NOMENCLATURE:
# ALPHA     MODEL INCIDENCE
# RE        REYNOLDS NUMBER BASED ON MODEL LENGTH
# DPN       DATA POINT NUMBER
# PHI       CIRCUMFERENTIAL MODEL ANGLE
# I         NUMBER OF PRESSURE TAP
# X0/L      X-LOCATION OF PRESSURE TAP
# CP        PRESSURE COEFFICIENT
# 
# DPN    PHI  I   X0/L     CP
410204   0.8 24  0.3978 -0.0086
410204   0.8 25  0.4394 -0.0218
410204   0.8 26  0.4811 -0.0324
410204   0.8 27  0.5228 -0.0432
410204   0.8 28  0.5644 -0.0533
410204   0.8 29  0.6061 -0.0573
410204   0.8 30  0.6478 -0.0605
410204   0.8 31  0.6894 -0.0741
410204   0.8 32  0.7309 -0.0769
410204   0.8 33  0.7725 -0.0808
410204   0.8 34  0.8139 -0.0869
410204   0.8 35  0.8346 -0.0906
410204   0.8 36  0.8552 -0.0842
410204   0.8 37  0.8758 -0.0821
410204   0.8 38  0.8962 -0.0800
410204   0.8 39  0.9166 -0.0633
410204   0.8 40  0.9365 -0.0322
410204   0.8 41  0.9544  0.0388
410204   0.8 42  0.9717  0.2128
410205   2.4  1  0.0000  0.9030
410205   2.4  2  0.0006  0.9956
410205   2.4  3  0.0022  0.9638
410205   2.4  4  0.0046  0.8597
410205   2.4  5  0.0074  0.7606
410205   2.4  6  0.0105  0.6517
410205   2.4  7  0.0137  0.5927
410205   2.4  8  0.0172  0.5347
410205   2.4  9  0.0208  0.4840
410205   2.4 10  0.0282  0.4057
410205   2.4 11  0.0358  0.3476
410205   2.4 12  0.0435  0.3067
410205   2.4 13  0.0555  0.2482
410205   2.4 14  0.0674  0.2007
410205   2.4 15  0.0876  0.1779
410205   2.4 16  0.1079  0.1437
410205   2.4 17  0.1284  0.1151
410205   2.4 18  0.1489  0.0944
410205   2.4 19  0.1901  0.0711
410205   2.4 20  0.2315  0.0508
410205   2.4 21  0.2728  0.0327
410205   2.4 22  0.3145  0.0126
410205   2.4 23  0.3561  0.0015
410205   2.4 24  0.3978 -0.0094
410205   2.4 25  0.4394 -0.0208
410205   2.4 26  0.4811 -0.0318
410205   2.4 27  0.5228 -0.0442
410205   2.4 28  0.5644 -0.0546
410205   2.4 29  0.6061 -0.0572
410205   2.4 30  0.6478 -0.0623
410205   2.4 31  0.6894 -0.0752
410205   2.4 32  0.7309 -0.0765
410205   2.4 33  0.7725 -0.0830
410205   2.4 34  0.8139 -0.0864
410205   2.4 35  0.8346 -0.0919
410205   2.4 36  0.8552 -0.0859
