##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 401000                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.48
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI= 145.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.4 M/S       PATM=    99919.9 PA
# 
#     FREE STREAM TEMPERATURE TO= 310.4 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.484      4.62     0.481     0.039     27.66
              0.23     0.487      4.56     0.484     0.039     27.79
              0.24     0.494      4.41     0.491     0.038     28.20
              0.25     0.494      4.40     0.491     0.038     28.21
              0.25     0.498      4.31     0.495     0.037     28.45
              0.27     0.501      4.35     0.498     0.038     28.59
              0.29     0.500      4.33     0.497     0.038     28.58
              0.30     0.507      4.22     0.504     0.037     28.98
              0.33     0.511      4.18     0.508     0.037     29.20
              0.34     0.514      4.17     0.511     0.037     29.38
              0.39     0.522      4.17     0.519     0.038     29.83
              0.43     0.527      4.28     0.524     0.039     30.13
              0.47     0.535      4.28     0.532     0.040     30.56
              0.50     0.534      4.45     0.531     0.041     30.53
              0.60     0.547      4.59     0.543     0.044     31.24
              0.70     0.558      4.62     0.554     0.045     31.86
              0.80     0.567      4.67     0.564     0.046     32.40
              0.90     0.576      4.70     0.572     0.047     32.91
              1.00     0.580      4.87     0.577     0.049     33.16
              1.10     0.592      4.80     0.588     0.049     33.82
              1.20     0.596      4.80     0.592     0.050     34.07
              1.40     0.601      4.95     0.598     0.052     34.37
              1.60     0.620      4.97     0.616     0.054     35.46
              1.80     0.628      5.21     0.624     0.057     35.92
              2.00     0.638      5.27     0.634     0.059     36.49
              2.20     0.649      5.39     0.644     0.061     37.08
              2.70     0.667      5.75     0.662     0.067     38.15
              3.20     0.690      6.02     0.685     0.072     39.48
              3.70     0.708      6.18     0.702     0.076     40.48
              4.20     0.724      6.48     0.718     0.082     41.41
              4.70     0.742      6.74     0.736     0.087     42.44
              5.20     0.755      7.19     0.748     0.094     43.18
              5.70     0.773      7.30     0.765     0.098     44.21
              6.20     0.784      7.55     0.776     0.103     44.88
              6.70     0.797      7.75     0.788     0.107     45.59
              7.20     0.813      7.88     0.805     0.111     46.56
              7.70     0.825      8.03     0.816     0.115     47.24
              8.20     0.837      8.27     0.828     0.120     47.93
              8.70     0.854      8.47     0.843     0.126     48.85
              9.20     0.862      8.64     0.851     0.129     49.33
              9.70     0.875      8.67     0.864     0.132     50.07
             10.20     0.886      8.75     0.875     0.135     50.76
             11.20     0.907      9.02     0.895     0.142     51.94
             12.20     0.928      9.22     0.916     0.149     53.16
             13.20     0.947      9.31     0.934     0.153     54.21
             14.20     0.956      9.51     0.942     0.158     54.74
             15.20     0.974      9.46     0.961     0.160     55.82
             16.20     0.981      9.70     0.967     0.165     56.21
             18.20     0.996      9.67     0.981     0.167     57.05
             20.20     0.998      9.78     0.983     0.170     57.16
             22.20     1.000      9.77     0.985     0.170     57.30
