##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 123900                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.64
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 135.2 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    98939.9 PA
# 
#     FREE STREAM TEMPERATURE TO= 312.1 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.412      3.35     0.410     0.024     22.69
              0.23     0.415      3.33     0.412     0.024     22.84
              0.24     0.417      3.32     0.415     0.024     22.99
              0.24     0.421      3.33     0.419     0.024     23.21
              0.25     0.424      3.29     0.421     0.024     23.34
              0.27     0.426      3.14     0.424     0.023     23.49
              0.28     0.427      3.12     0.425     0.023     23.53
              0.29     0.435      3.06     0.432     0.023     23.95
              0.32     0.439      3.00     0.436     0.023     24.17
              0.34     0.441      3.00     0.439     0.023     24.32
              0.35     0.445      3.03     0.443     0.023     24.53
              0.39     0.452      3.10     0.450     0.024     24.93
              0.44     0.457      3.09     0.455     0.025     25.19
              0.48     0.460      2.99     0.458     0.024     25.38
              0.52     0.464      2.99     0.462     0.024     25.56
              0.62     0.473      3.01     0.471     0.025     26.08
              0.72     0.483      3.21     0.480     0.027     26.60
              0.82     0.494      3.29     0.492     0.028     27.27
              0.92     0.499      3.36     0.496     0.029     27.49
              1.02     0.504      3.47     0.502     0.030     27.79
              1.22     0.516      3.66     0.513     0.033     28.44
              1.42     0.527      3.76     0.525     0.034     29.07
              1.62     0.536      3.95     0.534     0.037     29.57
              1.82     0.547      4.19     0.544     0.040     30.18
              2.02     0.556      4.32     0.554     0.042     30.69
              2.22     0.562      4.46     0.559     0.044     31.00
              2.72     0.581      4.86     0.578     0.049     32.06
              3.22     0.598      5.35     0.594     0.056     33.01
              3.72     0.615      5.78     0.610     0.062     33.92
              4.22     0.630      6.18     0.625     0.068     34.74
              4.72     0.644      6.60     0.638     0.074     35.53
              5.22     0.658      6.97     0.652     0.080     36.31
              5.72     0.671      7.38     0.665     0.086     37.06
              6.22     0.686      7.69     0.679     0.092     37.88
              6.72     0.698      8.08     0.690     0.098     38.55
              7.22     0.711      8.37     0.702     0.103     39.25
              7.72     0.725      8.65     0.716     0.109     40.04
              8.22     0.736      8.89     0.726     0.114     40.65
              8.72     0.747      9.13     0.736     0.118     41.24
              9.22     0.760      9.33     0.749     0.123     41.96
              9.72     0.773      9.51     0.761     0.128     42.67
             10.22     0.784      9.75     0.771     0.133     43.27
             11.22     0.806     10.00     0.793     0.140     44.53
             12.22     0.825     10.34     0.811     0.148     45.59
             13.22     0.850     10.47     0.835     0.154     46.98
             14.22     0.873     10.66     0.857     0.161     48.23
             15.22     0.891     10.78     0.874     0.166     49.21
             16.22     0.906     10.94     0.889     0.172     50.08
             18.22     0.938     11.02     0.920     0.179     51.85
             20.22     0.962     11.13     0.943     0.186     53.17
             22.22     0.986     11.00     0.967     0.188     54.50
             24.22     0.996     10.98     0.978     0.190     55.09
             26.22     1.000     10.92     0.982     0.189     55.29
