## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   GOETTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    3MX3M LOW SPEED WIND TUNNEL       ARTIFICIAL TRANSITION AT X0/2A= 0.2
# 
#    RUN: 0   3 5                             INCIDENCE  ALPHA= 10.0 DEG.
# 
#    VELOCITY  UINF= 55.0 M/S                 REYNOLDS N0.  RE= 0.770E+07
# 
#    MEASURING STATION:    NO.  3  ,  X0/2A= 0.223
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -3.6  0.00422  -2.8    
   -1.2  0.00423  -2.0    
    1.2  0.00422  -1.3    
    3.6  0.00422  -0.5    
    6.0  0.00429  -0.1    
    8.4  0.00437   0.8    
   10.8  0.00439   2.3    
   13.2  0.00444   3.5    
   15.6  0.00446   4.6    
   18.0  0.00449   5.3    
   20.4  0.00450   6.1    
   22.8  0.00450   6.7    
   25.2  0.00456   7.6    
   27.6  0.00459   8.3    
   30.0  0.00478   9.3    
   32.4  0.00484  10.0    
   34.8  0.00480  10.7    
   37.2  0.00482  11.2    
   39.6  0.00488  11.9    
   42.0  0.00488  12.5    
   44.4  0.00497  12.9    
   46.8  0.00502  13.5    
   49.2  0.00499  13.8    
   50.8  0.00501  14.3    
   54.0  0.00504  14.9    
   56.4  0.00502  15.2    
   58.8  0.00504  15.7    
   61.2  0.00505  16.0    
   63.6  0.00507  16.3    
   65.2  0.00506  16.6    
   67.6  0.00512  16.8    
   70.8  0.00513  16.9    
   73.2  0.00507  17.3    
   75.6  0.00510  17.4    
   78.0  0.00514  17.9    
   80.4  0.00511  18.0    
   82.8  0.00516  18.0    
   85.2  0.00519  18.2    
   87.6  0.00525  17.9    
   90.0  0.00521  17.7
   92.4  0.00520  17.6
   94.8  0.00516  17.5
   97.2  0.00509  17.3
   99.6  0.00492  17.3
  102.0  0.00487  17.0
  104.4  0.00484  17.1
  106.8  0.00484  16.6
  109.2  0.00475  15.9
  111.6  0.00480  15.5
  114.0  0.00476  14.9
  116.4  0.00477  14.5
  118.8  0.00468  14.2
  121.2  0.00478  13.7
  123.6  0.00473  13.5
  126.0  0.00476  13.0
  128.4  0.00489  12.8
  130.8  0.00490  12.5
  133.2  0.00496  12.1
  135.6  0.00501  11.8
  138.0  0.00496  11.8
  140.4  0.00492  11.7
  142.8  0.00486  11.2
  144.4  0.00475  10.4
  147.6  0.00466   9.2
  150.0  0.00438   9.2
  152.4  0.00404  10.5
  154.8  0.00367  12.6
  157.2  0.00376  11.6
  159.6  0.00389   9.9
  162.0  0.00410   7.9
  164.4  0.00417   5.5
  166.8  0.00430   3.4
  169.2  0.00430   2.1
  171.6  0.00435   1.2
  174.0  0.00437   0.9
  176.4  0.00439   0.6
  178.8  0.00438   0.1
  181.2  0.00436  -0.1
  183.6  0.00434  -0.6
