##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 405200                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.56
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 155.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.1 M/S       PATM=    99389.9 PA
# 
#     FREE STREAM TEMPERATURE TO= 310.3 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.450     -1.49     0.448     -.012     25.19
              0.23     0.454     -1.56     0.452     -.012     25.43
              0.24     0.459     -1.58     0.457     -.013     25.70
              0.25     0.460     -1.55     0.459     -.012     25.79
              0.26     0.465     -1.49     0.463     -.012     26.03
              0.27     0.465     -1.53     0.463     -.012     26.02
              0.29     0.474     -1.42     0.472     -.012     26.52
              0.31     0.480     -1.33     0.478     -.011     26.86
              0.33     0.483     -1.34     0.481     -.011     27.06
              0.34     0.487     -1.36     0.485     -.011     27.28
              0.39     0.490     -1.12     0.488     -.010     27.45
              0.43     0.497     -1.06     0.495     -.009     27.83
              0.47     0.500     -1.07     0.499     -.009     28.03
              0.51     0.510     -1.16     0.509     -.010     28.60
              0.61     0.519     -1.16     0.517     -.010     29.07
              0.71     0.528     -1.01     0.526     -.009     29.58
              0.81     0.535     -0.86     0.534     -.008     30.00
              0.91     0.540     -0.86     0.539     -.008     30.27
              1.01     0.544     -0.88     0.543     -.008     30.51
              1.11     0.555     -0.72     0.554     -.007     31.13
              1.21     0.559     -0.67     0.557     -.007     31.32
              1.41     0.576     -0.54     0.575     -.005     32.31
              1.61     0.582     -0.39     0.580     -.004     32.62
              1.81     0.592     -0.27     0.591     -.003     33.19
              2.01     0.599     -0.18     0.598     -.002     33.59
              2.21     0.606     -0.09     0.604     -.001     33.96
              2.71     0.622      0.14     0.621     0.002     34.90
              3.21     0.640      0.42     0.639     0.005     35.92
              3.71     0.656      0.71     0.654     0.008     36.78
              4.21     0.666      1.12     0.665     0.013     37.36
              4.71     0.685      1.50     0.683     0.018     38.41
              5.21     0.693      1.86     0.691     0.022     38.88
              5.71     0.703      2.14     0.701     0.026     39.42
              6.21     0.713      2.45     0.711     0.030     40.01
              6.71     0.731      2.62     0.729     0.033     41.01
              7.21     0.742      2.91     0.739     0.038     41.62
              7.71     0.751      3.30     0.748     0.043     42.14
              8.21     0.759      3.62     0.756     0.048     42.58
              8.71     0.767      3.82     0.764     0.051     43.04
              9.21     0.776      4.08     0.773     0.055     43.58
              9.71     0.791      4.40     0.788     0.061     44.41
             10.21     0.799      4.65     0.795     0.065     44.85
             11.21     0.817      5.12     0.813     0.073     45.88
             12.21     0.830      5.57     0.825     0.081     46.61
             13.21     0.849      6.00     0.844     0.089     47.68
             14.21     0.861      6.40     0.855     0.096     48.36
             15.21     0.879      6.62     0.872     0.101     49.35
             16.21     0.893      6.87     0.886     0.107     50.16
             18.21     0.919      7.37     0.910     0.118     51.60
             20.21     0.942      7.66     0.933     0.125     52.90
             22.21     0.966      7.77     0.957     0.131     54.28
             24.21     0.980      7.84     0.970     0.134     55.06
             26.21     0.988      7.82     0.979     0.134     55.52
             28.21     0.996      7.70     0.987     0.133     55.98
             30.21     1.000      7.53     0.991     0.131     56.18
             35.21     1.000      7.30     0.992     0.127     56.21
