##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 404900                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.56
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 140.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.5 M/S       PATM=    99419.9 PA
# 
#     FREE STREAM TEMPERATURE TO= 307.8 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.455      3.06     0.453     0.024     25.72
              0.23     0.460      3.03     0.458     0.024     26.02
              0.24     0.465      3.00     0.463     0.024     26.28
              0.25     0.466      2.96     0.463     0.024     26.33
              0.26     0.470      2.90     0.467     0.024     26.54
              0.27     0.469      3.06     0.467     0.025     26.53
              0.29     0.477      3.19     0.474     0.026     26.96
              0.31     0.480      3.19     0.478     0.027     27.15
              0.33     0.482      3.21     0.480     0.027     27.26
              0.34     0.487      3.29     0.484     0.028     27.52
              0.39     0.494      3.44     0.491     0.030     27.92
              0.43     0.500      3.52     0.497     0.031     28.26
              0.47     0.506      3.42     0.503     0.030     28.60
              0.51     0.508      3.42     0.505     0.030     28.70
              0.61     0.519      3.41     0.516     0.031     29.33
              0.71     0.527      3.52     0.524     0.032     29.80
              0.81     0.536      3.51     0.534     0.033     30.34
              0.91     0.542      3.61     0.540     0.034     30.68
              1.01     0.552      3.74     0.549     0.036     31.22
              1.11     0.559      3.91     0.556     0.038     31.61
              1.21     0.565      4.03     0.562     0.040     31.95
              1.41     0.575      4.14     0.572     0.041     32.53
              1.61     0.582      4.25     0.579     0.043     32.95
              1.81     0.593      4.33     0.589     0.045     33.53
              2.01     0.600      4.52     0.597     0.047     33.95
              2.21     0.612      4.59     0.608     0.049     34.64
              2.71     0.627      4.99     0.623     0.054     35.48
              3.21     0.646      5.46     0.641     0.061     36.56
              3.71     0.664      5.94     0.659     0.069     37.57
              4.21     0.677      6.30     0.672     0.074     38.35
              4.71     0.691      6.55     0.685     0.079     39.14
              5.21     0.705      6.86     0.698     0.084     39.89
              5.71     0.722      7.15     0.715     0.090     40.90
              6.21     0.733      7.51     0.726     0.096     41.53
              6.71     0.747      7.85     0.738     0.102     42.29
              7.21     0.760      8.16     0.751     0.108     43.06
              7.71     0.774      8.45     0.764     0.114     43.83
              8.21     0.784      8.67     0.774     0.118     44.42
              8.71     0.797      8.92     0.786     0.123     45.14
              9.21     0.809      9.20     0.798     0.129     45.86
              9.71     0.820      9.34     0.808     0.133     46.47
             10.21     0.827      9.68     0.815     0.139     46.90
             11.21     0.856      9.93     0.842     0.147     48.50
             12.21     0.873     10.33     0.858     0.156     49.48
             13.21     0.887     10.49     0.871     0.161     50.28
             14.21     0.904     10.67     0.888     0.167     51.25
             15.21     0.922     10.89     0.905     0.174     52.28
             16.21     0.939     10.96     0.922     0.179     53.28
             18.21     0.965     11.02     0.947     0.184     54.74
             20.21     0.983     10.93     0.965     0.186     55.78
             22.21     0.993     10.84     0.975     0.187     56.32
             24.21     1.000     10.68     0.983     0.185     56.74
