##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 126000                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.73
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 135.2 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=   100000.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 313.6 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.348     -3.78     0.345     -.023     18.77
              0.23     0.347     -3.79     0.345     -.023     18.75
              0.24     0.353     -3.66     0.351     -.022     19.07
              0.24     0.356     -3.60     0.353     -.022     19.21
              0.25     0.357     -3.50     0.355     -.022     19.30
              0.26     0.362     -3.40     0.360     -.021     19.55
              0.28     0.364     -3.35     0.362     -.021     19.66
              0.29     0.372     -3.29     0.370     -.021     20.09
              0.31     0.374     -3.27     0.372     -.021     20.21
              0.34     0.380     -3.20     0.378     -.021     20.53
              0.35     0.382     -3.18     0.380     -.021     20.62
              0.39     0.390     -3.14     0.388     -.021     21.09
              0.44     0.393     -3.10     0.391     -.021     21.23
              0.48     0.400     -2.97     0.398     -.021     21.61
              0.51     0.403     -2.89     0.401     -.020     21.80
              0.61     0.415     -2.78     0.413     -.020     22.42
              0.71     0.421     -2.75     0.419     -.020     22.75
              0.81     0.427     -2.77     0.425     -.021     23.06
              0.91     0.430     -2.75     0.428     -.021     23.22
              1.01     0.439     -2.57     0.438     -.020     23.76
              1.11     0.443     -2.51     0.441     -.019     23.96
              1.21     0.449     -2.37     0.448     -.019     24.31
              1.41     0.462     -2.21     0.460     -.018     24.96
              1.61     0.468     -2.03     0.466     -.016     25.31
              1.81     0.479     -1.86     0.477     -.015     25.89
              2.01     0.483     -1.70     0.482     -.014     26.15
              2.21     0.490     -1.59     0.489     -.014     26.52
              2.71     0.507     -0.92     0.506     -.008     27.45
              3.21     0.525     -0.45     0.523     -.004     28.37
              3.71     0.534     -0.06     0.533     -.001     28.91
              4.21     0.548      0.38     0.547     0.004     29.67
              4.71     0.562      0.89     0.561     0.009     30.41
              5.21     0.571      1.56     0.569     0.015     30.89
              5.71     0.587      1.99     0.585     0.020     31.74
              6.21     0.595      2.47     0.593     0.026     32.20
              6.71     0.605      2.93     0.603     0.031     32.75
              7.21     0.617      3.42     0.615     0.037     33.41
              7.71     0.626      3.88     0.623     0.042     33.86
              8.21     0.638      4.31     0.635     0.048     34.54
              8.71     0.649      4.77     0.645     0.054     35.11
              9.21     0.660      5.30     0.656     0.061     35.72
              9.71     0.674      5.64     0.670     0.066     36.49
             10.21     0.678      6.15     0.673     0.072     36.70
             11.21     0.702      6.87     0.696     0.084     38.01
             12.21     0.722      7.71     0.715     0.097     39.11
             13.21     0.743      8.44     0.734     0.109     40.22
             14.21     0.763      9.16     0.753     0.121     41.36
             15.21     0.784      9.75     0.772     0.133     42.46
             16.21     0.800     10.25     0.787     0.142     43.37
             18.21     0.835     11.22     0.818     0.162     45.23
             20.21     0.873     11.85     0.854     0.179     47.33
             22.21     0.903     12.43     0.882     0.194     48.96
             24.21     0.935     12.71     0.912     0.206     50.68
             26.21     0.958     12.95     0.934     0.215     51.95
             28.21     0.978     12.89     0.954     0.218     53.06
             30.21     0.992     12.70     0.967     0.218     53.79
             35.21     1.000     12.48     0.976     0.216     54.24
