##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 126200                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.73
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI= 144.8 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=   100010.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 314.2 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.344     -7.29     0.340     -.043     18.60
              0.23     0.349     -7.16     0.345     -.043     18.87
              0.24     0.350     -7.16     0.346     -.044     18.94
              0.24     0.352     -7.12     0.348     -.043     19.04
              0.25     0.357     -7.01     0.353     -.043     19.29
              0.26     0.362     -6.81     0.358     -.043     19.59
              0.28     0.362     -6.87     0.358     -.043     19.56
              0.29     0.369     -6.73     0.365     -.043     19.96
              0.31     0.372     -6.76     0.368     -.044     20.14
              0.34     0.377     -6.76     0.373     -.044     20.39
              0.35     0.382     -6.70     0.378     -.044     20.66
              0.39     0.389     -6.48     0.385     -.044     21.06
              0.44     0.389     -6.54     0.386     -.044     21.07
              0.48     0.396     -6.54     0.393     -.045     21.45
              0.51     0.402     -6.50     0.398     -.045     21.76
              0.61     0.412     -6.46     0.408     -.046     22.29
              0.71     0.420     -6.31     0.416     -.046     22.73
              0.81     0.427     -6.24     0.423     -.046     23.11
              0.91     0.433     -6.14     0.430     -.046     23.46
              1.01     0.438     -6.10     0.435     -.046     23.73
              1.11     0.444     -6.04     0.441     -.047     24.05
              1.21     0.452     -5.96     0.449     -.047     24.49
              1.41     0.460     -5.93     0.456     -.047     24.88
              1.61     0.469     -5.85     0.465     -.048     25.38
              1.81     0.477     -5.67     0.474     -.047     25.84
              2.01     0.478     -5.64     0.475     -.047     25.88
              2.21     0.489     -5.50     0.486     -.047     26.48
              2.71     0.503     -5.34     0.499     -.047     27.23
              3.21     0.517     -4.92     0.514     -.044     28.02
              3.71     0.527     -4.52     0.524     -.041     28.54
              4.21     0.539     -4.11     0.537     -.039     29.20
              4.71     0.547     -3.89     0.545     -.037     29.63
              5.21     0.559     -3.42     0.557     -.033     30.27
              5.71     0.563     -3.02     0.561     -.030     30.51
              6.21     0.572     -2.54     0.570     -.025     30.98
              6.71     0.579     -2.30     0.578     -.023     31.38
              7.21     0.587     -1.99     0.585     -.020     31.80
              7.71     0.595     -1.57     0.594     -.016     32.24
              8.21     0.601     -1.08     0.600     -.011     32.58
              8.71     0.608     -0.67     0.607     -.007     32.95
              9.21     0.616     -0.27     0.615     -.003     33.41
              9.71     0.621      0.18     0.620     0.002     33.65
             10.21     0.629      0.61     0.628     0.007     34.10
             11.21     0.643      1.46     0.642     0.016     34.84
             12.21     0.654      2.16     0.653     0.025     35.45
             13.21     0.665      2.91     0.663     0.034     36.03
             14.21     0.685      3.70     0.682     0.044     37.11
             15.21     0.697      4.60     0.694     0.056     37.79
             16.21     0.714      5.33     0.710     0.066     38.72
             18.21     0.744      6.63     0.738     0.086     40.34
             20.21     0.770      7.88     0.762     0.106     41.78
             22.21     0.803      8.91     0.793     0.124     43.55
             24.21     0.835      9.79     0.823     0.142     45.31
             26.21     0.865     10.53     0.850     0.158     46.90
             28.21     0.895     11.07     0.878     0.172     48.56
             30.21     0.922     11.40     0.903     0.182     50.02
             35.21     0.973     11.57     0.953     0.195     52.82
             40.21     0.997     11.35     0.977     0.196     54.11
             45.21     0.998     11.03     0.980     0.191     54.18
             50.21     1.000     10.66     0.983     0.185     54.28
