##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 405400                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.56
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 165.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.1 M/S       PATM=    99339.9 PA
# 
#     FREE STREAM TEMPERATURE TO= 311.3 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.480     -2.40     0.478     -.020     26.81
              0.23     0.482     -2.43     0.480     -.020     26.90
              0.24     0.487     -2.38     0.485     -.020     27.19
              0.24     0.491     -2.27     0.489     -.019     27.41
              0.25     0.493     -2.22     0.491     -.019     27.52
              0.26     0.497     -2.16     0.495     -.019     27.74
              0.28     0.498     -2.09     0.497     -.018     27.83
              0.29     0.506     -2.07     0.505     -.018     28.28
              0.31     0.509     -2.09     0.507     -.018     28.40
              0.34     0.514     -2.12     0.512     -.019     28.70
              0.35     0.516     -2.07     0.514     -.019     28.83
              0.39     0.523     -1.98     0.522     -.018     29.24
              0.44     0.531     -1.93     0.529     -.018     29.63
              0.48     0.533     -2.04     0.531     -.019     29.77
              0.51     0.538     -1.99     0.537     -.019     30.07
              0.61     0.548     -1.90     0.547     -.018     30.64
              0.71     0.562     -1.85     0.560     -.018     31.41
              0.81     0.570     -1.81     0.568     -.018     31.84
              0.91     0.578     -1.69     0.576     -.017     32.30
              1.01     0.583     -1.61     0.581     -.016     32.55
              1.11     0.592     -1.60     0.590     -.016     33.06
              1.21     0.595     -1.53     0.593     -.016     33.25
              1.41     0.611     -1.46     0.609     -.016     34.12
              1.61     0.622     -1.36     0.621     -.015     34.77
              1.81     0.628     -1.40     0.626     -.015     35.07
              2.01     0.637     -1.34     0.636     -.015     35.63
              2.21     0.645     -1.23     0.644     -.014     36.06
              2.71     0.663     -0.89     0.661     -.010     37.06
              3.21     0.680     -0.71     0.679     -.008     38.01
              3.71     0.694     -0.47     0.692     -.006     38.79
              4.21     0.707     -0.22     0.706     -.003     39.55
              4.71     0.724     -0.01     0.722     -.000     40.46
              5.21     0.735      0.16     0.734     0.002     41.11
              5.71     0.746      0.43     0.745     0.006     41.72
              6.21     0.759      0.68     0.758     0.009     42.47
              6.71     0.771      0.85     0.769     0.011     43.10
              7.21     0.782      1.04     0.781     0.014     43.76
              7.71     0.792      1.27     0.791     0.017     44.30
              8.21     0.804      1.49     0.803     0.021     44.99
              8.71     0.811      1.69     0.810     0.024     45.38
              9.21     0.825      1.91     0.823     0.027     46.13
              9.71     0.831      2.18     0.829     0.032     46.48
             10.21     0.843      2.35     0.841     0.035     47.14
             11.21     0.853      2.71     0.851     0.040     47.73
             12.21     0.867      3.08     0.865     0.047     48.55
             13.21     0.881      3.48     0.879     0.053     49.32
             14.21     0.895      3.78     0.892     0.059     50.07
             15.21     0.910      4.01     0.907     0.064     50.92
             16.21     0.923      4.24     0.920     0.068     51.67
             18.21     0.944      4.68     0.940     0.077     52.85
             20.21     0.962      5.00     0.958     0.084     53.89
             22.21     0.980      5.10     0.976     0.087     54.88
             24.21     0.991      5.04     0.987     0.087     55.52
             26.21     0.995      4.97     0.992     0.086     55.75
             28.21     1.000      4.90     0.996     0.085     56.01
