##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 126400                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.73
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI= 160.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=   100010.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 314.8 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.443     -9.74     0.435     -.075     23.87
              0.23     0.444     -9.73     0.436     -.075     23.93
              0.24     0.447     -9.65     0.440     -.075     24.13
              0.24     0.454     -9.49     0.446     -.075     24.48
              0.25     0.454     -9.55     0.446     -.075     24.47
              0.26     0.458     -9.29     0.451     -.074     24.73
              0.28     0.463     -9.38     0.455     -.075     24.96
              0.29     0.469     -9.23     0.462     -.075     25.32
              0.31     0.473     -9.21     0.465     -.075     25.52
              0.34     0.479     -9.09     0.472     -.075     25.85
              0.35     0.483     -9.10     0.475     -.076     26.06
              0.39     0.490     -9.00     0.483     -.076     26.46
              0.44     0.498     -8.88     0.490     -.077     26.86
              0.48     0.501     -8.73     0.494     -.076     27.05
              0.51     0.503     -8.72     0.496     -.076     27.14
              0.61     0.517     -8.58     0.509     -.077     27.89
              0.71     0.527     -8.52     0.520     -.078     28.46
              0.81     0.537     -8.44     0.530     -.079     29.01
              0.91     0.545     -8.23     0.538     -.078     29.41
              1.01     0.550     -8.13     0.543     -.078     29.68
              1.11     0.557     -8.08     0.550     -.078     30.09
              1.21     0.567     -8.05     0.560     -.079     30.60
              1.41     0.580     -8.01     0.573     -.081     31.31
              1.61     0.590     -7.85     0.583     -.080     31.86
              1.81     0.599     -7.70     0.592     -.080     32.35
              2.01     0.610     -7.58     0.603     -.080     32.93
              2.21     0.619     -7.43     0.612     -.080     33.42
              2.71     0.633     -7.22     0.627     -.079     34.19
              3.21     0.651     -6.90     0.645     -.078     35.17
              3.71     0.666     -6.70     0.661     -.078     36.00
              4.21     0.679     -6.42     0.673     -.076     36.67
              4.71     0.687     -6.20     0.682     -.074     37.11
              5.21     0.701     -5.84     0.696     -.071     37.88
              5.71     0.707     -5.68     0.702     -.070     38.18
              6.21     0.717     -5.35     0.713     -.067     38.75
              6.71     0.725     -5.00     0.721     -.063     39.16
              7.21     0.729     -4.71     0.725     -.060     39.39
              7.71     0.741     -4.41     0.737     -.057     40.02
              8.21     0.747     -4.17     0.743     -.054     40.34
              8.71     0.747     -3.89     0.744     -.051     40.35
              9.21     0.757     -3.60     0.754     -.047     40.91
              9.71     0.768     -3.32     0.766     -.044     41.53
             10.21     0.770     -3.08     0.768     -.041     41.63
             11.21     0.776     -2.56     0.775     -.035     41.97
             12.21     0.783     -2.05     0.782     -.028     42.33
             13.21     0.791     -1.36     0.790     -.019     42.76
             14.21     0.799     -0.74     0.798     -.010     43.18
             15.21     0.801     -0.19     0.800     -.003     43.32
             16.21     0.807      0.34     0.806     0.005     43.61
             18.21     0.814      1.50     0.813     0.021     44.00
             20.21     0.827      2.52     0.825     0.036     44.69
             22.21     0.837      3.49     0.834     0.051     45.25
             24.21     0.848      4.43     0.845     0.065     45.86
             26.21     0.868      5.32     0.863     0.080     46.93
             28.21     0.882      6.06     0.876     0.093     47.69
             30.21     0.898      6.70     0.891     0.105     48.57
             35.21     0.936      7.98     0.926     0.130     50.62
             40.21     0.972      8.39     0.962     0.142     52.62
             45.21     0.996      8.18     0.986     0.142     53.93
             50.21     1.000      7.82     0.991     0.136     54.13
