alpha,cl,cd,cdf,cdp,xtr_up,xtr_lo,ok
-2,0.24527250552087007,0.007619395587081539,0.005922414076731369,0.0016969815103501703,0.4650562113943197,0.47238802861818663,1
0,0.4878715789316714,0.007673109650443455,0.005759626066441902,0.0019134835840015534,0.4343615954833615,0.6237407112063758,1
2,0.7239205911285715,0.008286718977447842,0.005914474637072441,0.0023722443403754005,0.39847317599224835,0.6469642160461762,1
4,0.9541047048659843,0.009253121376617232,0.006119178058699456,0.0031339433179177756,0.33353366189505274,0.6592951325030264,1
6,1.172378850940085,0.011068876444736355,0.006458680549799415,0.004610195894936941,0.2375034971768932,0.665197309899037,1
8,1.3756352881992187,0.013648451985234131,0.006758261542192689,0.006890190443041442,0.14995913516024365,0.671211789698198,1
