alpha,cl,cd,cdf,cdp,xtr_up,xtr_lo,ok
-2,-0.22226845849509333,0.0074659580255317685,0.006030095877401712,0.0014358621481300564,0.6527731984480883,0.2848328447543558,1
0,-6.334107809973569e-14,0.007131867232083383,0.005978032842580316,0.0011538343895030672,0.47188011323805035,0.4718801132391028,1
2,0.22226845891618977,0.007465958231591979,0.006030095884197578,0.001435862347394401,0.2848328448896903,0.6527731997764009,1
4,0.4400604752074254,0.008431351276620177,0.006049053956272668,0.0023822973203475083,0.12277466258998726,0.8314958494415324,1
6,0.6587834338807345,0.009967997113327713,0.0060097634771780995,0.003958233636149613,0.05044644879318601,0.9549208654928888,1
8,0.9133329384269762,0.01212977341420184,0.006158270282694993,0.005971503131506847,0.02581087559957699,0.9932532145540363,1
