## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  123    X0/2A= 0.7420    PHI=  90.0    RE= 6.46E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   581.5  185.1    0.1   10.1 -0.871  0.048 -0.791 45.2 1584.0 -432.4
   581.9  190.0    0.1   15.0 -0.870  0.041 -0.775 45.1 1552.4 -402.5
   582.4  195.0    0.1   20.1 -0.873  0.034 -0.760 45.0 1525.9 -378.4
   582.9  199.9    0.1   25.0 -0.873  0.026 -0.748 45.1 1503.2 -355.1
   583.3  205.0    0.1   30.1 -0.876  0.021 -0.737 45.1 1494.9 -344.2
   583.8  209.9    0.1   35.0 -0.879  0.018 -0.728 45.0 1480.3 -333.5
   584.3  214.9    0.1   40.0 -0.877  0.013 -0.718 45.1 1466.1 -317.8
   585.2  224.8    0.1   50.0 -0.880  0.007 -0.703 45.2 1451.5 -299.8
   586.1  234.8    0.1   60.0 -0.878 -0.002 -0.686 45.0 1411.3 -266.5
   587.0  244.7    0.1   70.0 -0.879 -0.005 -0.674 45.0 1395.8 -248.8
   587.9  254.8    0.0   80.1 -0.878 -0.008 -0.661 45.0 1374.0 -227.8
   588.9  264.6    0.1   90.0 -0.877 -0.010 -0.651 45.1 1362.2 -214.8
   589.8  274.6    0.1  100.0 -0.878 -0.012 -0.643 45.1 1352.7 -200.5
   590.7  284.5    0.1  109.9 -0.878 -0.014 -0.633 45.1 1340.7 -186.7
   591.7  294.5    0.1  120.0 -0.875 -0.016 -0.623 45.0 1313.2 -167.1
   592.6  304.5    0.1  130.0 -0.877 -0.014 -0.618 45.1 1317.5 -167.7
   593.5  314.4    0.0  140.0 -0.876 -0.019 -0.608 45.1 1299.1 -147.8
   595.4  334.3    0.1  160.0 -0.879 -0.016 -0.598 45.2 1294.7 -139.5
   597.2  354.3    0.0  180.0 -0.876 -0.016 -0.589 45.2 1277.4 -126.3
   599.1  374.2    0.0  200.0 -0.876 -0.017 -0.580 45.1 1262.1 -110.0
   600.9  394.0    0.0  219.9 -0.876 -0.018 -0.575 45.1 1254.9 -106.3
   602.8  414.1    0.0  240.1 -0.875 -0.015 -0.568 45.1 1242.7  -96.1
   604.6  433.9    0.0  260.0 -0.876 -0.017 -0.559 45.1 1237.5  -86.2
   606.5  453.9    0.0  280.1 -0.877 -0.016 -0.556 45.1 1235.0  -83.9
   608.3  473.8    0.0  300.0 -0.875 -0.018 -0.552 45.1 1226.3  -72.0
   610.2  493.7    0.0  320.0 -0.876 -0.019 -0.547 45.1 1221.4  -67.2
   612.0  513.7    0.0  340.1 -0.874 -0.016 -0.544 45.2 1213.9  -64.1
