## Nomenclature:
# PHI      Circumferential model angle
# CF       Wall shear stress coefficient (= local wall shear stress
#                       normalized with free stream dynamic pressure)
# GAMMA    Wall shear stress angle
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   GOETTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    3MX3M LOW SPEED WIND TUNNEL              NATURAL TRANSITION
# 
#    RUN: 5 104 7                             INCIDENCE  ALPHA= 29.7 DEG.
# 
#    VELOCITY  UINF= 45.0 M/S                 REYNOLDS N0.  RE= 0.654E+07
# 
#    MEASURING STATION:    NO. 10  ,  X0/2A= 0.825
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.8  0.00188  -8.7    
   -3.2  0.00188  -6.5    
   -1.6  0.00188  -3.9    
    0.0  0.00191  -0.8    
    1.6  0.00190   1.1    
    3.2  0.00195   4.0    
    4.8  0.00193   5.9    
    6.4  0.00193   8.8    
    8.0  0.00194  11.1    
    9.6  0.00196  13.5    
   11.2  0.00197  15.7    
   12.8  0.00196  18.1    
   14.4  0.00197  20.2    
   16.0  0.00197  22.4    
   17.6  0.00197  24.5    
   19.2  0.00196  26.7    
   20.8  0.00197  28.9    
   22.4  0.00196  30.8    
   24.0  0.00196  32.6    
   25.6  0.00193  34.9    
   27.2  0.00192  36.4    
   28.8  0.00194  37.8    
   30.4  0.00192  39.9    
   32.0  0.00192  41.5    
   33.6  0.00192  42.8    
   35.2  0.00198  43.1    
   36.8  0.00264  40.5    
   39.2  0.00516  34.6    
   40.0  0.00459  36.6    
   41.6  0.00430  37.6    
   43.2  0.00525  36.7    
   44.8  0.00488  36.8    
   46.4  0.00393  36.4    
   48.0  0.00265  41.5    
   50.4  0.00194  50.5    
   51.2  0.00197  50.5    
   52.8  0.00204  49.8    
   54.4  0.00216  48.1    
   56.0  0.00240  44.9    
   57.6  0.00280  42.0    
   57.6  0.00280  41.8    
   59.2  0.00352  40.8    
   60.8  0.00386  39.6    
   62.4  0.00462  40.0    
   64.0  0.00530  41.2    
   65.6  0.00563  41.8    
   67.2  0.00586  42.8    
   68.8  0.00591  43.2    
   70.4  0.00586  43.4    
   72.0  0.00577  43.6    
   73.6  0.00563  43.5    
   75.2  0.00545  43.3    
   76.8  0.00543  42.7    
   78.4  0.00532  42.7    
   80.0  0.00518  42.0    
   81.6  0.00507  41.6    
   83.2  0.00491  40.6    
   84.8  0.00480  39.6    
   86.4  0.00457  38.3    
   88.0  0.00449  36.5    
   89.6  0.00433  34.8    
   91.2  0.00413  32.3    
   92.8  0.00391  28.9    
   94.4  0.00370  26.1    
   96.0  0.00352  22.7    
   97.6  0.00316  18.4    
   97.6  0.00314  18.4    
   99.2  0.00279  14.1    
  100.8  0.00231  10.4    
  102.4  0.00191   8.1    
  104.0  0.00147   4.6    
  105.6  0.00125  -0.7    
  107.2  0.00111 -10.5    
  108.8  0.00120 -12.7    
  110.4  0.00134 -12.0    
  112.0  0.00152  -9.8    
  113.6  0.00163  -7.5    
  115.2  0.00173  -5.6    
  116.8  0.00183  -3.7    
  118.4  0.00182  -2.1    
  120.0  0.00189  -2.3
  121.6  0.00196  -4.4
  123.2  0.00212  -5.7
  124.8  0.00237  -6.8
  126.4  0.00255  -7.0
  128.0  0.00271  -7.0
  130.4  0.00286  -6.3
  131.2  0.00303  -5.2
  132.8  0.00304  -3.6
  134.4  0.00319  -0.4
  136.0  0.00321   2.1
  137.6  0.00326   5.1
  139.2  0.00320   6.9
  140.8  0.00303   7.7
  142.4  0.00278   7.9
  144.0  0.00244   7.0
  145.6  0.00213   5.2
  147.2  0.00190   2.2
  148.8  0.00183  -0.2
  150.4  0.00188  -1.5
  152.0  0.00212  -4.1
  153.6  0.00252  -7.4
  155.2  0.00311  -9.0
  156.8  0.00369  -9.9
  158.4  0.00414 -10.4
  160.0  0.00454 -12.3
  161.6  0.00477 -13.5
  163.2  0.00487 -14.6
  164.8  0.00502 -14.6
  166.4  0.00513 -14.7
  168.0  0.00523 -14.9
  169.6  0.00528 -13.2
  171.2  0.00537 -11.8
  172.8  0.00546  -9.9
  174.4  0.00553  -8.5
  176.0  0.00562  -6.4
  177.6  0.00571  -4.4
  179.2  0.00575  -1.4
  180.8  0.00579   0.3
  182.4  0.00578   2.9
  184.0  0.00595   5.9
