## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  135    X0/2A= 0.7420    PHI= 170.0    RE= 6.34E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   581.9   32.2 -182.1   10.0 -1.041 -0.246  0.222 45.0 1343.9 -214.4
   582.3   33.1 -187.1   15.1 -1.036 -0.254  0.249 45.0 1346.7 -220.7
   582.8   33.9 -191.9   20.0 -1.030 -0.256  0.280 45.1 1359.3 -227.5
   583.3   34.7 -196.8   24.9 -1.028 -0.270  0.312 45.0 1379.6 -251.8
   583.7   35.6 -201.7   29.9 -1.023 -0.275  0.335 45.0 1387.6 -262.6
   584.2   36.5 -206.7   35.0 -1.018 -0.285  0.372 45.1 1420.5 -289.2
   584.7   37.3 -211.5   39.9 -1.008 -0.297  0.412 45.0 1430.0 -336.3
   585.6   39.1 -221.3   49.9 -0.984 -0.285  0.475 45.1 1435.1 -409.8
   586.5   40.8 -231.1   59.9 -0.959 -0.246  0.526 45.1 1414.4 -465.7
   587.4   42.6 -240.9   69.9 -0.952 -0.161  0.548 45.1 1387.8 -482.3
   588.4   44.3 -250.7   79.9 -1.000 -0.003  0.558 45.1 1476.3 -621.2
   589.3   46.0 -260.5   89.9 -1.012  0.061  0.540 45.0 1478.9 -627.2
   590.2   47.8 -270.4  100.0 -1.005  0.178  0.459 45.0 1402.3 -584.5
   591.1   49.4 -280.1  109.9 -0.982  0.244  0.377 45.1 1312.1 -492.0
   592.0   51.2 -290.0  120.0 -0.961  0.299  0.300 45.1 1241.5 -361.4
   593.0   52.9 -299.7  129.9 -0.937  0.350  0.219 45.0 1179.8 -241.8
   593.9   54.6 -309.6  140.0 -0.925  0.353  0.146 45.1 1130.1 -137.3
   595.7   58.1 -329.2  160.0 -0.906  0.340  0.007 45.1 1058.6   29.8
   597.6   61.6 -348.8  180.0 -0.895  0.279 -0.074 45.1 1001.5  117.1
   599.4   64.9 -368.4  199.9 -0.888  0.219 -0.155 45.2  977.5  153.8
   601.3   68.4 -388.0  219.9 -0.890  0.170 -0.205 45.2  980.2  150.3
   603.2   71.9 -407.6  239.9 -0.891  0.129 -0.245 45.1  986.6  141.5
   605.0   75.4 -427.2  259.9 -0.889  0.104 -0.274 45.1  992.6  134.2
   606.9   78.8 -446.8  279.9 -0.891  0.082 -0.298 45.1 1007.8  121.7
   608.7   82.3 -466.4  299.9 -0.886  0.070 -0.324 45.1 1011.7  110.6
   610.6   85.7 -486.0  319.9 -0.886  0.058 -0.344 45.0 1020.6  100.2
   612.4   89.1 -505.6  339.8 -0.889  0.045 -0.355 45.1 1037.6   90.6
