## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  151    X0/2A= 0.8279    PHI= 154.9    RE= 6.26E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   788.4   68.0 -144.7    9.0 -0.997 -0.240  0.139 45.1 1200.6  -75.0
   789.2   70.1 -149.2   14.0 -0.996 -0.248  0.128 45.1 1201.0  -77.4
   789.9   72.2 -153.7   19.1 -0.996 -0.259  0.122 45.1 1204.9  -81.7
   790.6   74.2 -158.2   24.0 -0.998 -0.275  0.108 45.2 1221.0  -95.9
   791.3   76.4 -162.6   29.0 -1.001 -0.295  0.089 45.1 1227.0 -115.7
   792.0   78.4 -167.1   34.0 -0.993 -0.303  0.084 45.1 1217.9 -118.3
   792.7   80.6 -171.6   39.0 -0.994 -0.325  0.041 45.1 1227.7 -157.5
   794.1   84.7 -180.5   48.9 -0.986 -0.349  0.000 45.1 1225.7 -197.8
   795.5   88.9 -189.5   59.0 -0.981 -0.358 -0.081 45.2 1233.2 -253.0
   796.9   93.1 -198.4   68.9 -0.974 -0.365 -0.121 45.2 1230.7 -317.1
   798.5   97.3 -207.5   79.0 -0.984 -0.319 -0.255 45.1 1265.4 -394.0
   799.9  101.5 -216.4   89.0 -0.985 -0.254 -0.346 45.1 1290.6 -450.2
   801.3  105.7 -225.4   99.0 -0.975 -0.112 -0.456 45.1 1308.8 -439.9
   802.7  109.8 -234.4  109.0 -0.992 -0.024 -0.523 45.1 1405.8 -508.2
   804.3  114.0 -243.4  119.1 -1.020  0.078 -0.590 45.2 1562.2 -582.2
   805.7  118.2 -252.4  129.1 -1.003  0.118 -0.588 45.1 1524.5 -557.2
   807.1  122.3 -261.3  139.0 -0.962  0.187 -0.579 45.1 1443.1 -510.4
   810.1  130.8 -279.3  159.1 -0.895  0.235 -0.577 45.2 1335.8 -401.6
   812.9  139.0 -297.2  179.0 -0.839  0.295 -0.576 45.2 1264.3 -236.0
   815.9  147.4 -315.2  199.1 -0.827  0.324 -0.550 45.1 1223.0 -106.8
   818.7  155.8 -333.1  219.1 -0.828  0.317 -0.510 45.2 1178.6   -9.6
   821.8  164.2 -351.0  239.1 -0.838  0.255 -0.480 45.2 1126.3    9.3
   824.8  172.6 -369.0  259.2 -0.846  0.219 -0.472 45.1 1109.4   19.0
   827.6  181.0 -386.9  279.1 -0.856  0.184 -0.454 45.1 1092.7   31.0
   830.6  189.4 -404.9  299.2 -0.861  0.158 -0.453 45.1 1093.5   34.3
   833.4  197.7 -422.8  319.1 -0.868  0.135 -0.443 45.1 1087.9   38.1
   836.4  206.1 -440.8  339.2 -0.865  0.120 -0.445 45.1 1079.0   36.6
