## Nomenclature:
# PHI      Circumferential model angle
# CF       Wall shear stress coefficient (= local wall shear stress
#                       normalized with free stream dynamic pressure)
# GAMMA    Wall shear stress angle
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   GOETTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    3MX3M LOW SPEED WIND TUNNEL              NATURAL TRANSITION
# 
#    RUN: 5 104 7                             INCIDENCE  ALPHA= 29.7 DEG.
# 
#    VELOCITY  UINF= 45.0 M/S                 REYNOLDS N0.  RE= 0.654E+07
# 
#    MEASURING STATION:    NO.  4  ,  X0/2A= 0.309
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.6  0.00129 -13.9    
   -3.0  0.00134  -9.7    
   -1.4  0.00138  -6.0    
    0.2  0.00143  -2.0    
    1.8  0.00148   1.7    
    3.4  0.00153   5.3    
    5.0  0.00156   8.9    
    6.6  0.00161  11.7    
    8.2  0.00163  15.1    
    9.8  0.00168  17.9    
   11.4  0.00170  20.8    
   13.0  0.00175  23.5    
   14.6  0.00177  26.1    
   16.2  0.00182  28.3    
   17.8  0.00184  30.5    
   19.4  0.00190  33.0    
   21.0  0.00193  35.1    
   22.6  0.00195  37.0    
   24.2  0.00197  38.9    
   25.8  0.00200  41.2    
   27.4  0.00202  42.7    
   29.0  0.00206  44.3    
   30.6  0.00208  45.9    
   32.2  0.00213  47.3    
   33.8  0.00212  48.8    
   35.4  0.00214  50.0    
   37.0  0.00217  51.5    
   38.6  0.00219  52.8    
   40.2  0.00222  53.7    
   41.8  0.00221  54.7    
   43.4  0.00222  55.3    
   45.0  0.00228  56.7    
   46.6  0.00227  57.3    
   48.2  0.00236  57.6    
   49.8  0.00237  58.4    
   51.4  0.00243  58.5    
   53.0  0.00249  58.8    
   54.6  0.00255  58.9    
   56.2  0.00259  59.2    
   57.8  0.00264  59.2    
   59.4  0.00273  58.9    
   61.0  0.00283  58.0    
   62.6  0.00295  57.4    
   64.2  0.00333  54.8    
   65.8  0.00348  54.6    
   67.4  0.00409  53.9    
   69.0  0.00438  51.6    
   70.6  0.00501  51.8    
   72.2  0.00529  51.0    
   73.8  0.00605  50.6    
   75.4  0.00658  50.3    
   77.0  0.00678  51.5    
   78.6  0.00717  51.3    
   80.2  0.00737  50.9    
   81.8  0.00642  48.4    
   84.2  0.00723  53.4    
   85.0  0.00770  50.4    
   86.6  0.00770  50.3    
   88.2  0.00776  50.4    
   89.8  0.00770  49.5    
   91.4  0.00756  49.2    
   93.0  0.00738  49.2    
   95.4  0.00736  48.5    
   96.2  0.00704  47.9    
   97.8  0.00694  47.5    
   99.4  0.00703  47.4    
  101.0  0.00705  46.6    
  102.6  0.00693  45.7    
  102.6  0.00685  45.7    
  104.2  0.00688  45.3    
  105.8  0.00685  44.9    
  107.4  0.00666  43.9    
  109.0  0.00638  43.0    
  110.6  0.00633  42.1    
  112.2  0.00622  41.4    
  113.8  0.00609  40.2    
  115.4  0.00593  38.9    
  117.0  0.00580  37.9    
  118.6  0.00564  36.8    
  120.2  0.00540  35.1    
  121.8  0.00527  33.7
  123.4  0.00511  31.9
  125.0  0.00492  30.3
  126.6  0.00468  28.1
  128.2  0.00442  25.7
  129.8  0.00422  23.1
  131.4  0.00390  20.0
  133.0  0.00363  16.8
  134.6  0.00345  13.9
  136.2  0.00313  10.4
  137.8  0.00278   6.1
  139.4  0.00253   2.7
  141.0  0.00235  -0.2
  142.6  0.00214  -3.9
  142.6  0.00212  -4.4
  144.2  0.00206  -8.4
  145.8  0.00205 -12.6
  147.4  0.00209 -13.9
  149.0  0.00213 -14.3
  150.6  0.00219 -16.4
  152.2  0.00227 -19.4
  153.8  0.00249 -20.7
  155.4  0.00267 -19.8
  157.0  0.00299 -18.0
  158.6  0.00325 -16.6
  160.2  0.00361 -16.8
  161.8  0.00397 -17.5
  163.4  0.00413 -18.7
  165.0  0.00433 -19.8
  166.6  0.00445 -20.6
  168.2  0.00459 -21.0
  169.8  0.00467 -21.0
  171.4  0.00470 -19.9
  173.0  0.00464 -17.9
  175.4  0.00464 -14.8
  176.2  0.00474 -10.3
  177.8  0.00470  -6.3
  179.4  0.00481  -2.7
  181.0  0.00493   0.9
  182.6  0.00519   3.5
  184.2  0.00543   6.7
