# CP-NWG,  ALPHA= 29.7 DEG., RE= 6.5 MIO.
# 
# NOMENCLATURE:
# ALPHA     MODEL INCIDENCE
# RE        REYNOLDS NUMBER BASED ON MODEL LENGTH
# DPN       DATA POINT NUMBER
# PHI       CIRCUMFERENTIAL MODEL ANGLE
# I         NUMBER OF PRESSURE TAP
# X0/L      X-LOCATION OF PRESSURE TAP
# CP        PRESSURE COEFFICIENT
# 
# DPN    PHI  I   X0/L     CP
200405   0.0 23  0.3561  0.2837
200405   0.0 24  0.3978  0.2593
200405   0.0 25  0.4396  0.2347
200405   0.0 26  0.4812  0.2105
200405   0.0 27  0.5229  0.1868
200405   0.0 28  0.5646  0.1658
200405   0.0 29  0.6062  0.1444
200405   0.0 30  0.6479  0.1202
200405   0.0 31  0.6892  0.0966
200405   0.0 32  0.7308  0.0705
200405   0.0 33  0.7725  0.0445
200405   0.0 34  0.8137  0.0165
200405   0.0 35  0.8346  0.0009
200405   0.0 36  0.8554 -0.0135
200405   0.0 37  0.8758 -0.0299
200405   0.0 38  0.8962 -0.0495
200405   0.0 39  0.9167 -0.0692
200405   0.0 40  0.9367 -0.0699
200405   0.0 41  0.9542 -0.0330
200405   0.0 42  0.9717  0.1762
200406   0.8  1  0.0000  0.1143
200406   0.8  2  0.0006  0.5690
200406   0.8  3  0.0022  0.8478
200406   0.8  4  0.0046  0.9687
200406   0.8  5  0.0074  0.9971
200406   0.8  6  0.0105  0.9612
200406   0.8  7  0.0137  0.9595
200406   0.8  8  0.0172  0.9301
200406   0.8  9  0.0208  0.9002
200406   0.8 10  0.0282  0.8384
200406   0.8 11  0.0358  0.7895
200406   0.8 12  0.0435  0.7426
200406   0.8 13  0.0555  0.6838
200406   0.8 14  0.0674  0.6333
200406   0.8 15  0.0876  0.5845
200406   0.8 16  0.1079  0.5367
200406   0.8 17  0.1284  0.5014
200406   0.8 18  0.1489  0.4682
200406   0.8 19  0.1901  0.4180
200406   0.8 20  0.2315  0.3759
200406   0.8 21  0.2728  0.3412
200406   0.8 22  0.3145  0.3074
200406   0.8 23  0.3561  0.2824
200406   0.8 24  0.3978  0.2569
200406   0.8 25  0.4396  0.2354
200406   0.8 26  0.4812  0.2106
200406   0.8 27  0.5229  0.1852
200406   0.8 28  0.5646  0.1640
200406   0.8 29  0.6062  0.1438
200406   0.8 30  0.6479  0.1198
200406   0.8 31  0.6892  0.0940
200406   0.8 32  0.7308  0.0699
200406   0.8 33  0.7725  0.0447
200406   0.8 34  0.8137  0.0169
200406   0.8 35  0.8346 -0.0019
200406   0.8 36  0.8554 -0.0150
200406   0.8 37  0.8758 -0.0296
200406   0.8 38  0.8962 -0.0500
200406   0.8 39  0.9167 -0.0678
200406   0.8 40  0.9367 -0.0701
200406   0.8 41  0.9542 -0.0341
200406   0.8 42  0.9717  0.1762
200407   1.6  1  0.0000  0.1134
200407   1.6  2  0.0006  0.5681
200407   1.6  3  0.0022  0.8487
200407   1.6  4  0.0046  0.9680
200407   1.6  5  0.0074  0.9971
200407   1.6  6  0.0105  0.9592
200407   1.6  7  0.0137  0.9609
200407   1.6  8  0.0172  0.9296
200407   1.6  9  0.0208  0.8969
200407   1.6 10  0.0282  0.8398
200407   1.6 11  0.0358  0.7873
200407   1.6 12  0.0435  0.7421
200407   1.6 13  0.0555  0.6832
200407   1.6 14  0.0674  0.6354
200407   1.6 15  0.0876  0.5827
200407   1.6 16  0.1079  0.5384
200407   1.6 17  0.1284  0.5016
200407   1.6 18  0.1489  0.4651
200407   1.6 19  0.1901  0.4162
200407   1.6 20  0.2315  0.3749
200407   1.6 21  0.2728  0.3402
200407   1.6 22  0.3145  0.3096
200407   1.6 23  0.3561  0.2821
200407   1.6 24  0.3978  0.2561
200407   1.6 25  0.4396  0.2344
200407   1.6 26  0.4812  0.2093
200407   1.6 27  0.5229  0.1853
200407   1.6 28  0.5646  0.1624
200407   1.6 29  0.6062  0.1429
200407   1.6 30  0.6479  0.1189
200407   1.6 31  0.6892  0.0935
200407   1.6 32  0.7308  0.0693
200407   1.6 33  0.7725  0.0436
200407   1.6 34  0.8137  0.0141
200407   1.6 35  0.8346 -0.0019
200407   1.6 36  0.8554 -0.0146
200407   1.6 37  0.8758 -0.0323
200407   1.6 38  0.8962 -0.0497
200407   1.6 39  0.9167 -0.0684
200407   1.6 40  0.9367 -0.0723
200407   1.6 41  0.9542 -0.0349
200407   1.6 42  0.9717  0.1747
200408   4.8  1  0.0000  0.1074
200408   4.8  2  0.0006  0.5669
200408   4.8  3  0.0022  0.8486
200408   4.8  4  0.0046  0.9652
200408   4.8  5  0.0074  0.9925
200408   4.8  6  0.0105  0.9565
200408   4.8  7  0.0137  0.9555
200408   4.8  8  0.0172  0.9249
200408   4.8  9  0.0208  0.8907
200408   4.8 10  0.0282  0.8331
200408   4.8 11  0.0358  0.7819
200408   4.8 12  0.0435  0.7345
200408   4.8 13  0.0555  0.6779
200408   4.8 14  0.0674  0.6236
200408   4.8 15  0.0876  0.5768
200408   4.8 16  0.1079  0.5301
200408   4.8 17  0.1284  0.4947
200408   4.8 18  0.1489  0.4608
200408   4.8 19  0.1901  0.4104
200408   4.8 20  0.2315  0.3687
200408   4.8 21  0.2728  0.3332
200408   4.8 22  0.3145  0.3030
200408   4.8 23  0.3561  0.2744
200408   4.8 24  0.3978  0.2488
200408   4.8 25  0.4396  0.2263
200408   4.8 26  0.4812  0.2030
200408   4.8 27  0.5229  0.1805
200408   4.8 28  0.5646  0.1568
200408   4.8 29  0.6062  0.1357
200408   4.8 30  0.6479  0.1137
200408   4.8 31  0.6892  0.0882
200408   4.8 32  0.7308  0.0641
200408   4.8 33  0.7725  0.0375
200408   4.8 34  0.8137  0.0082
200408   4.8 35  0.8346 -0.0068
200408   4.8 36  0.8554 -0.0207
200408   4.8 37  0.8758 -0.0389
200408   4.8 38  0.8962 -0.0564
200408   4.8 39  0.9167 -0.0726
200408   4.8 40  0.9367 -0.0767
200408   4.8 41  0.9542 -0.0376
200408   4.8 42  0.9717  0.1703
200409   9.6  1  0.0000  0.1147
200409   9.6  2  0.0006  0.5587
200409   9.6  3  0.0022  0.8382
200409   9.6  4  0.0046  0.9473
200409   9.6  5  0.0074  0.9735
200409   9.6  6  0.0105  0.9361
200409   9.6  7  0.0137  0.9324
200409   9.6  8  0.0172  0.9008
200409   9.6  9  0.0208  0.8681
200409   9.6 10  0.0282  0.8087
200409   9.6 11  0.0358  0.7540
200409   9.6 12  0.0435  0.7165
200409   9.6 13  0.0555  0.6521
200409   9.6 14  0.0674  0.6034
200409   9.6 15  0.0876  0.5498
200409   9.6 16  0.1079  0.5075
200409   9.6 17  0.1284  0.4685
200409   9.6 18  0.1489  0.4368
200409   9.6 19  0.1901  0.3876
200409   9.6 20  0.2315  0.3478
200409   9.6 21  0.2728  0.3110
200409   9.6 22  0.3145  0.2797
200409   9.6 23  0.3561  0.2529
200409   9.6 24  0.3978  0.2311
200409   9.6 25  0.4396  0.2064
200409   9.6 26  0.4812  0.1832
200409   9.6 27  0.5229  0.1596
200409   9.6 28  0.5646  0.1376
200409   9.6 29  0.6062  0.1178
200409   9.6 30  0.6479  0.0950
200409   9.6 31  0.6892  0.0693
200409   9.6 32  0.7308  0.0469
200409   9.6 33  0.7725  0.0197
200409   9.6 34  0.8137 -0.0053
200409   9.6 35  0.8346 -0.0232
200409   9.6 36  0.8554 -0.0356
200409   9.6 37  0.8758 -0.0539
200409   9.6 38  0.8962 -0.0709
200409   9.6 39  0.9167 -0.0887
200409   9.6 40  0.9367 -0.0863
200409   9.6 41  0.9542 -0.0496
200409   9.6 42  0.9717  0.1589
200410  15.2  1  0.0000  0.1061
200410  15.2  2  0.0006  0.5431
200410  15.2  3  0.0022  0.8181
200410  15.2  4  0.0046  0.9188
200410  15.2  5  0.0074  0.9392
200410  15.2  6  0.0105  0.8985
200410  15.2  7  0.0137  0.8923
200410  15.2  8  0.0172  0.8623
200410  15.2  9  0.0208  0.8295
200410  15.2 10  0.0282  0.7678
200410  15.2 11  0.0358  0.7134
200410  15.2 12  0.0435  0.6707
200410  15.2 13  0.0555  0.6090
200410  15.2 14  0.0674  0.5588
200410  15.2 15  0.0876  0.5120
200410  15.2 16  0.1079  0.4694
200410  15.2 17  0.1284  0.4280
200410  15.2 18  0.1489  0.3961
200410  15.2 19  0.1901  0.3452
200410  15.2 20  0.2315  0.3107
200410  15.2 21  0.2728  0.2719
200410  15.2 22  0.3145  0.2415
200410  15.2 23  0.3561  0.2136
200410  15.2 24  0.3978  0.1928
200410  15.2 25  0.4396  0.1686
200410  15.2 26  0.4812  0.1480
200410  15.2 27  0.5229  0.1263
200410  15.2 28  0.5646  0.1024
200410  15.2 29  0.6062  0.0822
200410  15.2 30  0.6479  0.0616
200410  15.2 31  0.6892  0.0390
200410  15.2 32  0.7308  0.0145
200410  15.2 33  0.7725 -0.0065
200410  15.2 34  0.8137 -0.0359
200410  15.2 35  0.8346 -0.0533
200410  15.2 36  0.8554 -0.0617
200410  15.2 37  0.8758 -0.0788
200410  15.2 38  0.8962 -0.0944
