## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  248    X0/2A= 0.6996    PHI= 160.0    RE= 6.26E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   480.0   66.1 -181.8   10.1 -1.038 -0.365  0.156 45.0 1382.5 -257.2
   480.2   67.9 -186.3   15.0 -1.038 -0.377  0.157 45.0 1393.2 -271.8
   480.6   69.5 -191.0   19.9 -1.037 -0.408  0.162 45.1 1419.9 -285.5
   480.9   71.2 -195.6   24.9 -1.033 -0.435  0.159 45.0 1430.5 -315.3
   481.3   73.0 -200.3   29.9 -1.029 -0.457  0.164 45.0 1444.5 -332.9
   481.6   74.6 -205.0   34.9 -1.024 -0.481  0.159 45.0 1455.9 -387.3
   482.0   76.3 -209.7   39.9 -1.017 -0.503  0.157 45.0 1460.0 -456.1
   482.7   79.7 -219.1   49.9 -1.036 -0.494  0.094 44.9 1469.7 -629.0
   483.6   83.2 -228.5   60.0 -1.055 -0.406  0.025 44.9 1417.3 -816.9
   484.3   86.5 -237.9   70.0 -1.068 -0.187 -0.104 45.0 1315.9 -867.5
   485.0   89.9 -247.2   79.9 -1.141  0.068 -0.241 45.0 1510.4-1017.1
   485.7   93.3 -256.6   89.9 -1.099  0.258 -0.373 45.0 1571.3 -943.4
   486.6   96.7 -266.0   99.9 -1.021  0.439 -0.401 45.1 1556.6 -755.4
   487.3  100.2 -275.4  110.0 -0.958  0.504 -0.414 45.0 1499.3 -604.9
   488.0  103.6 -284.7  119.9 -0.903  0.523 -0.410 45.0 1400.3 -448.8
   488.9  106.9 -294.2  130.0 -0.878  0.509 -0.401 45.0 1328.5 -329.1
   489.6  110.4 -303.6  140.1 -0.875  0.475 -0.400 45.0 1286.0 -220.4
   491.1  117.1 -322.3  160.0 -0.878  0.395 -0.382 45.0 1200.3  -68.1
   492.5  124.0 -341.0  180.0 -0.864  0.360 -0.366 45.0 1133.4   34.0
   494.1  130.8 -359.8  200.0 -0.864  0.286 -0.361 44.9 1071.0   68.5
   495.5  137.6 -378.5  220.0 -0.878  0.218 -0.372 45.1 1075.5   46.5
   496.9  144.4 -397.3  240.0 -0.885  0.172 -0.380 44.9 1069.7   45.4
   498.4  151.3 -416.0  260.0 -0.888  0.142 -0.385 45.0 1073.1   43.4
   500.0  158.1 -434.8  280.1 -0.888  0.121 -0.394 45.0 1073.3   43.0
   501.4  164.9 -453.5  300.0 -0.886  0.105 -0.402 45.0 1071.6   39.9
   502.8  171.8 -472.2  320.0 -0.887  0.090 -0.406 44.9 1072.7   39.1
   504.5  178.6 -491.0  340.1 -0.885  0.077 -0.414 45.0 1079.3   35.5
