## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  184    X0/2A= 0.4839    PHI= 120.2    RE= 6.53E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   -38.6  181.7 -106.2   10.6 -0.871  0.241 -0.649 45.1 1420.2 -268.9
   -38.8  186.1 -108.6   15.6 -0.874  0.230 -0.656 45.0 1428.7 -278.5
   -38.7  190.4 -111.3   20.6 -0.875  0.219 -0.658 45.1 1428.9 -282.4
   -38.7  194.7 -113.8   25.6 -0.877  0.213 -0.658 45.0 1426.3 -283.4
   -38.8  199.0 -116.2   30.5 -0.880  0.200 -0.659 45.0 1425.8 -282.1
   -38.8  203.4 -118.7   35.6 -0.878  0.193 -0.660 45.0 1424.5 -280.8
   -39.0  207.7 -121.1   40.5 -0.883  0.184 -0.653 44.9 1411.1 -271.5
   -38.9  216.4 -126.2   50.6 -0.882  0.174 -0.649 45.1 1410.0 -264.5
   -38.9  225.0 -131.2   60.6 -0.883  0.161 -0.644 45.0 1396.8 -252.4
   -39.0  233.6 -136.2   70.5 -0.886  0.152 -0.638 45.0 1390.6 -245.9
   -39.0  242.3 -141.2   80.5 -0.887  0.139 -0.632 45.1 1381.1 -234.8
   -39.1  251.0 -146.2   90.6 -0.888  0.134 -0.624 45.1 1372.5 -227.4
   -39.1  259.6 -151.2  100.5 -0.889  0.127 -0.618 45.2 1368.1 -220.0
   -39.2  268.3 -156.2  110.6 -0.891  0.117 -0.612 45.0 1350.9 -208.6
   -39.2  276.9 -161.2  120.5 -0.891  0.112 -0.603 45.1 1343.0 -198.2
   -39.3  285.5 -166.2  130.5 -0.891  0.105 -0.601 45.1 1337.4 -191.0
   -39.4  294.2 -171.2  140.5 -0.892  0.100 -0.593 45.0 1322.4 -182.7
   -39.5  311.5 -181.2  160.5 -0.892  0.091 -0.584 45.1 1312.1 -170.0
   -39.8  328.9 -191.1  180.5 -0.895  0.082 -0.572 45.0 1297.0 -156.4
   -39.7  346.1 -201.1  200.4 -0.894  0.074 -0.567 45.0 1288.0 -146.8
   -39.8  363.4 -211.1  220.4 -0.894  0.065 -0.562 45.1 1284.4 -137.0
   -39.9  380.8 -221.1  240.4 -0.893  0.058 -0.557 45.1 1276.4 -128.9
   -40.0  398.2 -231.1  260.5 -0.893  0.051 -0.551 45.0 1261.9 -119.3
   -40.1  415.5 -241.1  280.5 -0.894  0.043 -0.542 45.1 1257.3 -111.6
   -40.2  432.7 -251.1  300.4 -0.890  0.041 -0.544 45.1 1250.7 -106.0
   -40.4  450.1 -261.1  320.5 -0.892  0.035 -0.537 45.1 1246.0  -99.0
   -40.4  467.5 -271.1  340.5 -0.892  0.031 -0.533 45.0 1234.8  -92.5
