## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  249    X0/2A= 0.6996    PHI= 165.0    RE= 6.26E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   479.9   50.0 -186.7    9.9 -1.047 -0.335  0.197 45.0 1391.8 -265.3
   480.4   51.3 -191.6   15.0 -1.045 -0.342  0.216 45.0 1404.9 -269.8
   480.7   52.6 -196.4   20.0 -1.046 -0.361  0.241 45.1 1436.8 -292.4
   481.2   53.9 -201.3   25.1 -1.044 -0.381  0.262 45.0 1451.6 -326.3
   481.5   55.2 -206.1   30.1 -1.040 -0.396  0.281 44.9 1467.1 -350.0
   482.0   56.5 -210.9   35.1 -1.034 -0.416  0.303 45.0 1490.0 -391.4
   482.3   57.8 -215.7   40.1 -1.026 -0.422  0.336 45.1 1503.2 -429.9
   483.1   60.4 -225.3   50.0 -1.016 -0.415  0.377 45.0 1499.3 -594.2
   483.8   63.0 -235.0   60.1 -1.033 -0.335  0.396 44.9 1476.6 -724.3
   484.4   65.5 -244.6   70.1 -1.045 -0.152  0.349 45.0 1373.7 -763.9
   485.2   68.1 -254.2   80.0 -1.125  0.068  0.248 45.1 1481.7 -929.2
   486.0   70.7 -263.9   90.1 -1.095  0.239  0.152 44.9 1413.8 -862.2
   486.7   73.3 -273.6  100.2 -1.026  0.439  0.049 45.0 1387.1 -677.8
   487.3   75.8 -283.1  110.0 -0.957  0.521 -0.039 45.0 1328.5 -516.8
   488.1   78.4 -292.7  120.0 -0.914  0.535 -0.100 45.0 1260.6 -358.4
   488.9   81.0 -302.4  130.1 -0.903  0.509 -0.130 45.0 1219.7 -239.9
   489.7   83.5 -312.1  140.1 -0.896  0.463 -0.160 44.9 1159.5 -136.1
   491.0   88.8 -331.3  160.1 -0.892  0.382 -0.217 44.9 1103.8    4.5
   492.6   93.9 -350.6  180.1 -0.877  0.343 -0.251 45.0 1066.7   94.6
   494.0   99.1 -369.8  200.0 -0.881  0.242 -0.271 45.0 1020.3  111.6
   495.6  104.2 -389.1  220.1 -0.891  0.187 -0.301 45.0 1033.8   90.5
   496.9  109.4 -408.3  240.0 -0.894  0.148 -0.320 45.0 1033.8   80.3
   498.5  114.7 -427.6  260.1 -0.893  0.122 -0.340 45.0 1040.1   77.6
   500.0  119.8 -446.9  280.1 -0.894  0.098 -0.351 45.0 1043.2   79.8
   501.4  125.0 -466.2  300.1 -0.892  0.085 -0.366 45.0 1049.8   68.7
   503.0  130.1 -485.4  320.1 -0.890  0.074 -0.380 45.0 1057.7   63.5
   504.4  135.3 -504.7  340.1 -0.890  0.061 -0.388 45.0 1064.0   57.8
