## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN: 3173    X0/2A= 0.8758    PHI= 155.0    RE= 6.56E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   903.8   60.0 -128.5   10.1 -0.981 -0.197  0.113 45.3 1184.5  -20.1
   904.7   62.1 -133.0   15.1 -0.984 -0.206  0.100 45.3 1192.4  -27.5
   905.5   64.2 -137.3   20.0 -0.987 -0.213  0.083 45.3 1195.5  -36.5
   906.5   66.2 -141.8   25.0 -0.987 -0.223  0.107 45.4 1211.2  -48.7
   907.4   68.3 -146.3   30.0 -0.991 -0.240  0.058 45.3 1214.0  -67.3
   908.4   70.4 -150.7   35.0 -0.986 -0.253  0.076 45.2 1211.7  -80.5
   909.3   72.5 -155.2   40.1 -0.983 -0.263  0.047 45.3 1211.5  -95.5
   911.4   76.6 -164.2   50.2 -0.979 -0.283 -0.011 45.3 1211.3 -129.8
   913.1   80.7 -173.0   60.0 -0.974 -0.302 -0.026 45.3 1211.9 -176.8
   915.0   84.9 -181.9   70.0 -0.979 -0.312 -0.016 45.2 1225.3 -228.2
   916.7   89.0 -190.8   80.0 -0.964 -0.310 -0.222 45.4 1254.2 -297.5
   918.8   93.2 -199.8   90.1 -0.946 -0.275 -0.363 45.2 1278.9 -373.5
   920.6   97.3 -208.6  100.0 -0.943 -0.209 -0.413 45.3 1281.9 -383.1
   922.5  101.5 -217.5  110.0 -0.958 -0.122 -0.441 45.4 1315.8 -386.0
   924.4  105.7 -226.4  120.1 -0.981 -0.021 -0.522 45.3 1436.1 -463.8
   926.1  109.9 -235.3  130.0 -1.005  0.029 -0.543 45.3 1515.9 -530.6
   928.1  114.0 -244.3  140.1 -0.980  0.112 -0.589 45.3 1531.9 -535.8
   931.8  122.2 -262.1  160.1 -0.886  0.194 -0.618 45.3 1399.3 -461.6
   935.6  130.6 -279.9  180.1 -0.843  0.243 -0.593 45.4 1309.3 -330.6
   939.2  138.8 -297.7  200.0 -0.814  0.260 -0.617 45.3 1296.3 -213.3
   943.0  147.1 -315.5  220.1 -0.801  0.262 -0.608 45.3 1261.0 -120.2
   946.7  155.5 -333.2  240.0 -0.826  0.261 -0.544 45.3 1222.3  -47.3
   950.4  163.7 -351.1  260.0 -0.830  0.230 -0.525 45.3 1190.0  -12.5
   954.1  172.0 -368.9  280.0 -0.830  0.201 -0.519 45.4 1172.3    7.3
   957.9  180.4 -386.7  300.1 -0.838  0.174 -0.502 45.4 1153.9   19.8
   961.5  188.7 -404.5  320.0 -0.841  0.151 -0.496 45.4 1146.5   29.2
   965.3  196.9 -422.4  340.1 -0.852  0.129 -0.479 45.3 1136.9   32.7
