## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  220    X0/2A= 0.6136    PHI= 100.1    RE= 6.38E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   272.7  201.7  -36.2   10.2 -0.871  0.122 -0.796 45.2 1594.0 -463.7
   272.9  206.6  -37.1   15.1 -0.878  0.112 -0.782 45.3 1584.7 -443.9
   273.1  211.6  -38.0   20.2 -0.878  0.104 -0.768 45.3 1558.2 -421.6
   273.3  216.4  -38.8   25.1 -0.882  0.094 -0.758 45.2 1543.5 -403.6
   273.5  221.4  -39.7   30.2 -0.878  0.088 -0.749 45.3 1523.5 -386.0
   273.7  226.3  -40.6   35.2 -0.881  0.080 -0.739 45.2 1509.1 -368.0
   273.9  231.2  -41.4   40.1 -0.881  0.075 -0.734 45.3 1499.0 -361.5
   274.3  241.0  -43.2   50.1 -0.883  0.064 -0.718 45.2 1473.6 -335.2
   274.7  250.9  -44.9   60.2 -0.884  0.053 -0.707 45.2 1452.4 -315.7
   275.1  260.8  -46.6   70.2 -0.885  0.047 -0.694 45.2 1436.4 -299.1
   275.5  270.7  -48.4   80.3 -0.884  0.040 -0.684 45.3 1420.5 -281.3
   275.9  280.4  -50.1   90.1 -0.886  0.034 -0.669 45.3 1403.3 -263.9
   276.3  290.3  -51.9  100.2 -0.885  0.032 -0.661 45.3 1387.5 -250.0
   276.7  300.2  -53.6  110.3 -0.888  0.027 -0.649 45.3 1376.4 -235.0
   277.1  310.0  -55.4  120.2 -0.885  0.024 -0.644 45.2 1357.8 -224.0
   277.5  319.9  -57.1  130.3 -0.885  0.022 -0.639 45.2 1354.3 -214.1
   277.9  329.8  -58.8  140.3 -0.886  0.020 -0.630 45.2 1342.4 -202.7
   278.7  349.4  -62.3  160.3 -0.887  0.017 -0.615 45.1 1318.1 -182.7
   279.5  369.1  -65.8  180.3 -0.884  0.013 -0.605 45.2 1303.9 -165.5
   280.3  388.7  -69.3  200.2 -0.887  0.010 -0.591 45.2 1288.4 -147.5
   281.0  408.4  -72.7  220.2 -0.883  0.008 -0.586 45.3 1279.5 -139.0
   281.8  428.1  -76.1  240.2 -0.883  0.009 -0.575 45.2 1264.3 -132.1
   282.6  447.8  -79.6  260.2 -0.882  0.004 -0.573 45.3 1262.7 -122.6
   283.4  467.5  -83.1  280.3 -0.882  0.005 -0.564 45.2 1243.8 -112.8
   284.0  487.1  -86.5  300.2 -0.882  0.003 -0.557 45.2 1238.5 -103.5
   284.8  506.8  -89.9  320.2 -0.882  0.002 -0.554 45.3 1235.3  -97.5
   285.6  526.5  -93.5  340.2 -0.880 -0.002 -0.549 45.3 1225.2  -86.6
