## Nomenclature:
# PHI      Circumferential model angle
# CF       Wall shear stress coefficient (= local wall shear stress
#                       normalized with free stream dynamic pressure)
# GAMMA    Wall shear stress angle
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   GOETTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    3MX3M LOW SPEED WIND TUNNEL              NATURAL TRANSITION
# 
#    RUN: 5 104 7                             INCIDENCE  ALPHA= 29.7 DEG.
# 
#    VELOCITY  UINF= 45.0 M/S                 REYNOLDS N0.  RE= 0.654E+07
# 
#    MEASURING STATION:    NO.  8  ,  X0/2A= 0.652
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -3.8  0.00145  -9.1    
   -2.2  0.00147  -6.3    
   -0.6  0.00150  -3.0    
    1.0  0.00153  -0.0    
    2.6  0.00155   2.9    
    4.2  0.00158   6.1    
    5.8  0.00162   8.8    
    7.4  0.00163  11.5    
    9.0  0.00166  13.9    
   10.6  0.00168  16.6    
   12.2  0.00168  19.0    
   13.8  0.00173  21.6    
   15.4  0.00173  24.0    
   17.0  0.00175  25.9    
   18.6  0.00177  28.5    
   20.2  0.00177  30.7    
   21.8  0.00182  32.7    
   23.4  0.00183  34.7    
   25.0  0.00185  36.6    
   26.6  0.00186  38.2    
   28.2  0.00187  39.9    
   29.8  0.00189  41.4    
   31.4  0.00189  43.1    
   33.0  0.00190  44.5    
   34.6  0.00191  45.7    
   36.2  0.00195  46.7    
   37.8  0.00199  47.8    
   39.4  0.00200  49.0    
   41.0  0.00205  49.8    
   42.6  0.00210  50.4    
   44.2  0.00217  50.7    
   45.8  0.00232  49.6    
   47.4  0.00290  46.5    
   49.0  0.00377  41.6    
   50.6  0.00419  35.6    
   52.2  0.00411  37.9    
   53.8  0.00455  41.5    
   55.4  0.00492  41.9    
   57.0  0.00560  42.2    
   58.6  0.00612  43.3    
   60.2  0.00636  43.6    
   61.8  0.00642  44.0    
   63.4  0.00644  44.3    
   65.0  0.00642  44.5    
   66.6  0.00634  44.8    
   68.2  0.00624  45.0    
   69.8  0.00619  45.0    
   71.4  0.00615  45.2    
   73.0  0.00611  45.1    
   74.6  0.00601  45.2    
   76.2  0.00598  45.1    
   77.8  0.00589  45.1    
   79.4  0.00582  44.7    
   81.0  0.00576  44.7    
   82.6  0.00571  44.6    
   84.2  0.00558  44.4    
   85.8  0.00543  44.0    
   87.4  0.00531  43.9    
   89.0  0.00522  43.2    
   90.6  0.00515  42.7    
   92.2  0.00516  41.6    
   93.8  0.00499  40.9    
   95.4  0.00489  39.9    
   97.0  0.00480  38.6    
   98.6  0.00462  36.9    
  100.2  0.00450  35.2    
  101.8  0.00426  33.0    
  103.4  0.00402  30.7    
  105.0  0.00376  26.8    
  106.6  0.00341  22.8    
  108.2  0.00310  18.7    
  109.8  0.00266  14.3    
  111.4  0.00222   9.6    
  113.0  0.00180   5.8    
  114.6  0.00142   2.1    
  116.2  0.00125  -6.2    
  117.8  0.00136 -13.8    
  119.4  0.00169 -13.2    
  121.0  0.00207 -10.7    
  122.6  0.00238  -8.6
  124.2  0.00262  -5.5
  125.8  0.00274  -3.8
  127.4  0.00284  -4.8
  129.0  0.00296  -7.2
  130.6  0.00310 -10.2
  132.2  0.00327 -11.8
  133.8  0.00347 -14.2
  135.4  0.00351 -14.3
  137.0  0.00365 -13.7
  138.6  0.00376 -10.6
  140.2  0.00390  -6.2
  141.8  0.00411   1.8
  144.2  0.00418   9.1
  145.0  0.00401  12.5
  146.6  0.00370  11.4
  148.2  0.00321   7.9
  149.8  0.00271   1.3
  151.4  0.00258   0.4
  153.0  0.00287  -3.8
  155.4  0.00373  -9.4
  156.2  0.00442 -13.0
  157.8  0.00466 -18.7
  159.4  0.00472 -22.7
  161.0  0.00483 -25.2
  162.6  0.00489 -26.0
  162.6  0.00484 -26.1
  164.2  0.00494 -26.0
  165.8  0.00495 -25.7
  167.4  0.00494 -24.8
  169.0  0.00488 -23.4
  170.6  0.00492 -21.0
  172.2  0.00498 -17.9
  173.8  0.00508 -14.9
  175.4  0.00518 -11.6
  177.0  0.00530  -7.8
  178.6  0.00543  -4.7
  180.2  0.00550  -0.7
  181.8  0.00571   2.5
  183.4  0.00587   5.6
