## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  168    X0/2A= 0.5701    PHI= 139.9    RE= 6.19E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   168.3  133.8 -159.0    9.8 -0.872  0.088  0.167 45.1  884.5 -257.9
   168.5  137.0 -162.8   14.8 -0.871  0.053  0.219 45.1  898.5 -264.3
   168.6  140.2 -166.7   19.8 -0.864  0.006  0.217 45.0  881.2 -213.4
   168.8  143.5 -170.5   24.8 -0.825  0.002  0.111 45.2  773.4 -176.9
   168.9  146.7 -174.3   29.8 -0.801  0.040 -0.034 45.1  717.9 -112.4
   169.0  150.0 -178.1   34.8 -0.794  0.117 -0.256 45.1  790.2  -65.1
   169.2  153.1 -182.0   39.8 -0.847  0.149 -0.456 45.1 1057.0  -75.1
   169.4  159.6 -189.7   49.9 -0.867  0.122 -0.583 45.1 1233.6 -130.1
   169.6  166.0 -197.2   59.8 -0.865  0.137 -0.618 45.1 1277.8 -165.5
   169.8  172.5 -205.0   69.9 -0.867  0.154 -0.627 45.0 1297.1 -184.2
   170.1  178.8 -212.6   79.8 -0.864  0.175 -0.625 45.1 1299.2 -187.9
   170.4  185.3 -220.3   89.9 -0.869  0.189 -0.605 45.2 1291.9 -181.8
   170.7  191.7 -228.0   99.9 -0.872  0.196 -0.591 45.1 1279.2 -169.4
   170.8  198.1 -235.5  109.7 -0.874  0.195 -0.579 45.1 1264.8 -156.4
   171.0  204.5 -243.2  119.8 -0.877  0.190 -0.567 45.0 1249.5 -141.9
   171.3  211.0 -250.9  129.8 -0.880  0.186 -0.554 45.2 1246.3 -133.4
   171.6  217.4 -258.6  139.9 -0.884  0.177 -0.545 45.1 1236.4 -119.8
   172.0  230.2 -273.8  159.7 -0.887  0.163 -0.528 45.1 1218.5 -105.2
   172.5  243.1 -289.2  179.8 -0.889  0.147 -0.520 45.0 1202.6  -92.9
   173.1  256.0 -304.6  199.9 -0.891  0.135 -0.509 45.1 1191.1  -84.3
   173.6  268.8 -319.9  219.9 -0.891  0.122 -0.502 45.2 1184.5  -73.7
   174.0  281.7 -335.1  239.8 -0.891  0.111 -0.497 45.0 1170.3  -67.4
   174.6  294.5 -350.4  259.8 -0.892  0.098 -0.495 45.0 1163.9  -62.0
   175.1  307.3 -365.8  279.8 -0.892  0.088 -0.492 45.1 1167.1  -57.3
   175.7  320.2 -381.2  299.9 -0.894  0.081 -0.487 45.0 1160.3  -49.3
   176.3  333.1 -396.5  319.9 -0.893  0.073 -0.488 45.0 1158.7  -48.6
   176.6  345.9 -411.7  339.8 -0.895  0.063 -0.484 45.1 1156.2  -46.4
