## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN: 3191    X0/2A= 0.9167    PHI= 155.0    RE= 6.41E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
  1002.5   50.9 -109.3   10.3 -0.929 -0.120  0.150 45.2 1034.8   66.2
  1003.7   53.0 -113.6   15.3 -0.942 -0.136  0.135 45.2 1062.6   73.2
  1004.9   55.0 -118.0   20.2 -0.949 -0.145  0.114 45.2 1075.6   66.0
  1006.2   57.1 -122.4   25.3 -0.951 -0.171  0.100 45.1 1080.6   50.3
  1007.2   59.1 -126.7   30.1 -0.954 -0.190  0.119 45.2 1102.0   31.4
  1008.4   61.1 -131.1   35.1 -0.953 -0.177  0.045 45.3 1085.0   35.7
  1009.6   63.2 -135.5   40.1 -0.955 -0.199  0.086 45.2 1101.1   10.2
  1012.1   67.3 -144.3   50.2 -0.958 -0.231  0.021 45.2 1117.8  -27.4
  1014.5   71.5 -153.1   60.2 -0.954 -0.257  0.024 45.2 1119.0  -71.2
  1017.0   75.5 -161.9   70.2 -0.955 -0.277  0.065 45.1 1136.9 -102.9
  1019.4   79.6 -170.7   80.2 -0.951 -0.298 -0.159 45.2 1165.0 -179.0
  1022.0   83.7 -179.6   90.3 -0.933 -0.291 -0.225 45.2 1153.7 -224.8
  1024.5   87.8 -188.4  100.3 -0.980 -0.280 -0.196 45.1 1227.3 -304.0
  1026.9   91.9 -197.2  110.3 -0.968 -0.252 -0.296 45.1 1242.9 -349.4
  1029.3   96.0 -205.9  120.3 -0.949 -0.148 -0.424 45.2 1260.7 -372.0
  1031.8  100.0 -214.7  130.2 -1.024 -0.084 -0.312 45.2 1321.5 -395.5
  1034.2  104.2 -223.6  140.4 -0.971 -0.025 -0.528 45.2 1395.4 -458.3
  1039.1  112.4 -241.2  160.4 -0.985  0.097 -0.571 45.2 1493.2 -526.7
  1043.9  120.6 -258.8  180.4 -0.902  0.174 -0.591 45.3 1368.0 -448.9
  1048.8  128.8 -276.3  200.3 -0.835  0.221 -0.607 45.2 1273.9 -335.5
  1053.7  137.0 -293.9  220.4 -0.798  0.237 -0.633 45.2 1254.1 -239.7
  1058.6  145.2 -311.5  240.4 -0.808  0.249 -0.608 45.2 1243.0 -140.3
  1063.5  153.4 -329.1  260.4 -0.814  0.249 -0.577 45.2 1215.4  -66.9
  1068.3  161.5 -346.7  280.4 -0.807  0.224 -0.569 45.2 1175.9  -24.3
  1073.2  169.8 -364.3  300.4 -0.823  0.200 -0.543 45.2 1160.6  -10.2
  1078.1  178.0 -381.8  320.4 -0.828  0.172 -0.531 45.1 1142.3    2.4
  1083.0  186.2 -399.4  340.4 -0.825  0.149 -0.530 45.2 1130.8   19.6
