## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  119    X0/2A= 0.6571    PHI= 185.0    RE= 6.26E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   377.5  -17.4 -199.1   10.0 -1.089  0.097  0.182 45.2 1382.3 -263.1
   377.9  -17.8 -204.2   15.1 -1.081  0.085  0.218 45.2 1379.2 -257.7
   378.2  -18.2 -209.0   20.0 -1.075  0.083  0.259 45.1 1378.3 -256.7
   378.5  -18.7 -214.1   25.1 -1.070  0.064  0.280 45.2 1381.9 -259.3
   378.7  -19.1 -219.0   30.0 -1.065  0.056  0.306 45.1 1377.2 -261.9
   379.1  -19.5 -224.1   35.1 -1.059  0.049  0.331 45.1 1384.3 -264.4
   379.4  -20.0 -229.0   40.1 -1.052  0.036  0.353 45.1 1379.3 -259.1
   379.9  -20.8 -239.0   50.1 -1.036  0.011  0.377 45.1 1363.8 -244.3
   380.5  -21.7 -249.0   60.2 -1.016 -0.018  0.382 45.1 1324.2 -207.3
   381.0  -22.6 -258.8   70.0 -0.998 -0.053  0.371 45.1 1274.3 -152.3
   381.6  -23.5 -268.8   80.1 -0.980 -0.086  0.344 45.2 1224.8 -101.9
   382.2  -24.4 -278.7   90.0 -0.966 -0.106  0.298 45.1 1162.6  -41.4
   382.8  -25.3 -288.7  100.1 -0.949 -0.142  0.248 45.0 1097.8   14.3
   383.2  -26.1 -298.6  110.0 -0.936 -0.151  0.182 45.1 1047.2   70.7
   383.8  -27.0 -308.5  120.0 -0.925 -0.171  0.133 45.1 1017.0  110.7
   384.4  -27.9 -318.5  130.1 -0.915 -0.158  0.074 45.0  971.9  144.8
   385.0  -28.7 -328.4  140.0 -0.906 -0.156  0.028 45.1  954.2  165.2
   386.0  -30.5 -348.3  160.0 -0.896 -0.133 -0.060 45.1  929.6  192.0
   387.2  -32.2 -368.2  180.0 -0.889 -0.111 -0.128 45.1  922.2  194.4
   388.2  -34.0 -388.1  200.0 -0.887 -0.099 -0.177 45.0  929.0  191.0
   389.4  -35.8 -408.0  220.0 -0.882 -0.085 -0.221 45.1  939.9  179.4
   390.5  -37.5 -427.8  239.9 -0.882 -0.074 -0.256 45.1  953.9  162.7
   391.7  -39.2 -447.7  260.0 -0.880 -0.067 -0.282 45.1  964.5  154.6
   392.7  -40.9 -467.5  279.9 -0.880 -0.061 -0.305 45.1  977.8  142.0
   393.9  -42.7 -487.5  300.0 -0.879 -0.053 -0.326 45.2  997.9  125.0
   395.1  -44.5 -507.5  320.1 -0.879 -0.048 -0.342 45.1 1004.4  115.2
   396.1  -46.3 -527.3  340.0 -0.877 -0.048 -0.357 45.1 1009.5  108.6
