## Nomenclature:
# PHI      Circumferential model angle
# CF       Wall shear stress coefficient (= local wall shear stress
#                       normalized with free stream dynamic pressure)
# GAMMA    Wall shear stress angle
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   GOETTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    3MX3M LOW SPEED WIND TUNNEL              NATURAL TRANSITION
# 
#    RUN: 5 104 7                             INCIDENCE  ALPHA= 29.7 DEG.
# 
#    VELOCITY  UINF= 45.0 M/S                 REYNOLDS N0.  RE= 0.654E+07
# 
#    MEASURING STATION:    NO.  5  ,  X0/2A= 0.395
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.0  0.00106 -11.2    
   -2.4  0.00109  -7.7    
   -0.8  0.00110  -4.3    
    0.8  0.00113  -0.6    
    2.4  0.00115   3.1    
    4.0  0.00118   6.2    
    5.6  0.00120   9.7    
    7.2  0.00123  12.8    
    8.8  0.00125  15.5    
   10.4  0.00126  18.3    
   12.0  0.00128  21.0    
   13.6  0.00129  23.9    
   15.2  0.00131  26.3    
   16.8  0.00133  29.0    
   18.4  0.00135  31.4    
   20.0  0.00136  34.1    
   21.6  0.00138  35.9    
   23.2  0.00138  38.6    
   24.8  0.00140  40.4    
   26.4  0.00141  42.3    
   28.0  0.00143  44.2    
   29.6  0.00143  46.6    
   31.2  0.00145  47.9    
   32.8  0.00145  49.4    
   34.4  0.00147  51.0    
   36.0  0.00148  52.1    
   37.6  0.00149  53.5    
   39.2  0.00150  54.6    
   40.8  0.00153  55.3    
   42.4  0.00157  56.8    
   44.0  0.00163  56.0    
   45.6  0.00166  57.9    
   47.2  0.00172  58.1    
   48.8  0.00174  58.9    
   50.4  0.00180  58.8    
   52.0  0.00190  58.3    
   53.6  0.00209  56.7    
   55.2  0.00231  55.8    
   56.8  0.00244  54.7    
   58.4  0.00287  52.7    
   60.0  0.00328  52.4    
   61.6  0.00390  50.8    
   63.2  0.00460  52.5    
   64.8  0.00516  51.6    
   66.4  0.00558  52.6    
   68.0  0.00582  51.7    
   69.6  0.00604  52.2    
   71.2  0.00624  52.3    
   72.8  0.00635  52.7    
   74.4  0.00640  52.6    
   76.0  0.00636  52.7    
   77.6  0.00635  52.5    
   79.2  0.00629  52.7    
   80.8  0.00630  52.6    
   82.4  0.00625  52.5    
   84.0  0.00616  52.5    
   85.6  0.00607  52.4    
   87.2  0.00601  52.2    
   88.8  0.00603  51.7    
   90.4  0.00590  51.6    
   92.0  0.00583  51.3    
   93.6  0.00580  51.0    
   95.2  0.00574  50.5    
   96.8  0.00566  50.0    
   99.2  0.00554  49.5    
  100.0  0.00546  48.9    
  101.6  0.00541  48.3    
  103.2  0.00534  48.0    
  104.8  0.00516  47.0    
  106.4  0.00508  45.9    
  108.0  0.00497  44.8    
  110.4  0.00485  43.8    
  111.2  0.00470  42.5    
  112.8  0.00457  41.2    
  114.4  0.00444  39.8    
  116.0  0.00432  38.3    
  117.6  0.00420  36.4    
  117.6  0.00414  35.9    
  119.2  0.00398  34.0    
  120.8  0.00375  31.2    
  122.4  0.00356  28.1
  124.0  0.00328  24.5
  125.6  0.00306  21.4
  127.2  0.00275  16.7
  128.8  0.00243  12.0
  130.4  0.00211   7.5
  132.0  0.00183   3.4
  133.6  0.00159  -0.3
  135.2  0.00134  -4.9
  136.8  0.00132 -11.5
  138.4  0.00150 -14.7
  140.0  0.00186 -14.5
  141.6  0.00219 -11.9
  143.2  0.00250 -10.2
  144.8  0.00281  -8.2
  146.4  0.00302  -8.6
  148.0  0.00326 -10.1
  149.6  0.00342 -12.2
  151.2  0.00352 -15.0
  152.8  0.00368 -17.9
  154.4  0.00375 -20.3
  156.0  0.00387 -22.3
  157.6  0.00393 -24.1
  157.6  0.00397 -24.3
  159.2  0.00407 -25.7
  160.8  0.00416 -26.5
  162.4  0.00426 -26.9
  164.0  0.00433 -26.9
  165.6  0.00444 -26.9
  167.2  0.00440 -26.7
  168.8  0.00440 -26.3
  170.4  0.00431 -26.2
  172.0  0.00418 -25.1
  173.6  0.00402 -23.0
  175.2  0.00401 -18.4
  176.8  0.00415 -12.4
  178.4  0.00420  -7.2
  180.0  0.00430  -2.9
  181.6  0.00439   0.1
  183.2  0.00453   3.5
  184.8  0.00474   8.1
