## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  232    X0/2A= 0.6136    PHI= 175.0    RE= 6.29E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   273.3   17.8 -204.9   10.9 -1.035 -0.139  0.145 44.8 1236.1 -130.2
   273.4   18.2 -209.7   15.7 -1.030 -0.137  0.180 44.8 1234.2 -135.7
   273.6   18.7 -214.7   20.8 -1.028 -0.129  0.212 44.8 1245.9 -134.8
   273.8   19.1 -219.6   25.7 -1.029 -0.108  0.238 44.8 1254.6 -148.0
   273.9   19.6 -224.6   30.7 -1.029 -0.096  0.262 44.8 1261.5 -151.4
   274.1   19.9 -229.6   35.7 -1.029 -0.075  0.278 44.9 1273.4 -168.0
   274.4   20.3 -234.5   40.6 -1.032 -0.051  0.295 44.8 1286.6 -172.8
   274.7   21.3 -244.5   50.7 -1.036 -0.016  0.305 44.8 1300.0 -187.1
   275.3   22.1 -254.5   60.7 -1.038  0.023  0.289 44.8 1289.8 -184.3
   275.7   22.9 -264.4   70.7 -1.021  0.055  0.255 44.9 1240.4 -129.1
   276.1   23.8 -274.4   80.7 -1.001  0.083  0.205 44.9 1174.3  -66.8
   276.4   24.7 -284.3   90.7 -0.989  0.094  0.153 44.8 1125.0  -23.0
   277.0   25.6 -294.4  100.8 -0.977  0.103  0.100 44.9 1091.8   18.3
   277.3   26.5 -304.4  110.9 -0.967  0.105  0.062 44.8 1058.5   49.0
   277.8   27.4 -314.3  120.8 -0.958  0.095  0.007 44.8 1032.9   76.8
   278.3   28.2 -324.3  130.9 -0.949  0.091 -0.032 44.9 1017.6   93.4
   278.7   29.1 -334.3  140.9 -0.942  0.089 -0.073 44.8 1006.0  100.6
   279.5   30.8 -354.1  160.8 -0.933  0.073 -0.143 44.9 1002.3  105.9
   280.2   32.6 -374.0  180.8 -0.928  0.058 -0.191 44.8 1003.5  103.9
   281.2   34.3 -394.0  200.9 -0.922  0.045 -0.236 44.7 1007.8   95.1
   281.9   36.1 -413.9  220.9 -0.917  0.036 -0.267 44.8 1020.0   88.1
   282.7   37.9 -433.8  240.9 -0.913  0.025 -0.291 44.8 1026.7   83.8
   283.5   39.6 -453.6  260.8 -0.911  0.019 -0.315 44.8 1035.0   77.3
   284.4   41.3 -473.6  280.9 -0.907  0.013 -0.334 44.9 1044.3   70.4
   285.1   43.0 -493.6  301.0 -0.902  0.011 -0.353 44.7 1042.9   59.5
   285.9   44.8 -513.4  320.9 -0.900  0.008 -0.366 44.9 1054.5   54.6
   286.8   46.6 -533.4  341.0 -0.896  0.003 -0.376 44.9 1055.4   51.8
