## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  102    X0/2A= 0.6571    PHI=  30.0    RE= 6.38E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   377.0  100.0  173.1   10.0 -0.911 -0.398 -0.239 44.7 1172.4  -19.1
   377.2  102.4  177.4   15.0 -0.930 -0.376 -0.288 44.8 1224.9  -86.5
   377.5  104.9  181.7   19.9 -0.928 -0.358 -0.305 44.7 1214.5  -84.4
   377.6  107.4  186.0   24.9 -0.926 -0.342 -0.313 44.8 1206.8  -68.5
   378.0  109.9  190.4   30.0 -0.922 -0.325 -0.322 44.8 1196.8  -52.2
   378.4  112.4  194.7   35.0 -0.919 -0.312 -0.331 44.8 1185.6  -48.9
   378.5  114.9  199.0   39.9 -0.917 -0.300 -0.338 44.8 1176.3  -38.0
   379.0  119.9  207.7   50.0 -0.914 -0.280 -0.347 44.8 1165.6  -21.3
   379.6  124.9  216.4   60.0 -0.907 -0.262 -0.360 44.8 1150.1  -14.6
   380.1  130.0  225.0   70.1 -0.907 -0.244 -0.364 44.7 1141.3   -0.9
   380.6  134.9  233.7   80.0 -0.898 -0.225 -0.375 44.8 1125.6    7.1
   381.1  139.9  242.3   90.0 -0.901 -0.221 -0.378 44.7 1127.5    7.2
   381.6  144.9  251.0  100.1 -0.897 -0.213 -0.389 44.7 1122.9    7.4
   382.1  149.9  259.7  110.1 -0.894 -0.203 -0.392 44.8 1119.8   17.5
   382.6  154.9  268.3  120.1 -0.888 -0.186 -0.398 44.8 1107.2   22.8
   383.2  159.9  277.0  130.1 -0.887 -0.177 -0.401 44.7 1098.1   30.7
   383.7  164.9  285.6  140.1 -0.883 -0.162 -0.407 44.7 1091.5   33.7
   384.7  174.9  303.0  160.2 -0.880 -0.133 -0.415 44.7 1084.4   34.1
   385.7  184.9  320.3  180.2 -0.881 -0.123 -0.421 44.6 1080.4   37.0
   386.8  194.8  337.7  200.2 -0.880 -0.111 -0.429 44.8 1093.4   34.4
   387.9  204.8  354.8  220.1 -0.879 -0.104 -0.435 44.8 1097.7   29.8
   389.0  214.7  372.1  240.0 -0.878 -0.095 -0.442 44.8 1097.6   27.5
   390.0  224.7  389.5  260.1 -0.877 -0.091 -0.444 44.8 1099.0   27.8
   391.0  234.7  406.8  280.1 -0.877 -0.082 -0.447 44.7 1096.4   25.2
   392.2  244.7  424.0  300.1 -0.877 -0.076 -0.451 44.8 1104.2   23.1
   393.2  254.7  441.3  320.1 -0.875 -0.070 -0.454 44.8 1099.2   18.0
   394.3  264.7  458.7  340.2 -0.877 -0.068 -0.452 44.8 1101.8   23.0
