## Nomenclature:
# PHI      Circumferential model angle
# CF       Wall shear stress coefficient (= local wall shear stress
#                       normalized with free stream dynamic pressure)
# GAMMA    Wall shear stress angle
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   GOETTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    3MX3M LOW SPEED WIND TUNNEL              NATURAL TRANSITION
# 
#    RUN: 5 104 7                             INCIDENCE  ALPHA= 29.7 DEG.
# 
#    VELOCITY  UINF= 45.0 M/S                 REYNOLDS N0.  RE= 0.654E+07
# 
#    MEASURING STATION:    NO.  7  ,  X0/2A= 0.565
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.4  0.00138 -11.7    
   -2.8  0.00139  -8.4    
   -1.2  0.00144  -5.1    
    0.4  0.00146  -1.8    
    2.0  0.00149   0.8    
    3.6  0.00153   4.1    
    5.2  0.00154   6.9    
    6.8  0.00159   9.7    
    8.4  0.00160  12.0    
   10.0  0.00162  14.7    
   11.6  0.00165  17.2    
   13.2  0.00168  19.7    
   14.8  0.00170  21.7    
   16.4  0.00170  24.1    
   18.0  0.00171  26.4    
   19.6  0.00173  28.4    
   21.2  0.00175  30.5    
   22.8  0.00178  32.2    
   24.4  0.00177  34.0    
   26.0  0.00179  36.0    
   27.6  0.00182  37.2    
   29.2  0.00181  39.3    
   30.8  0.00182  40.5    
   32.4  0.00184  41.8    
   34.0  0.00187  43.0    
   35.6  0.00189  44.3    
   37.2  0.00192  45.0    
   38.8  0.00198  46.0    
   40.4  0.00198  46.9    
   42.0  0.00203  47.5    
   43.6  0.00208  48.0    
   45.2  0.00220  47.5    
   46.8  0.00243  44.4    
   48.4  0.00272  43.6    
   50.0  0.00304  41.6    
   51.6  0.00363  38.1    
   53.2  0.00417  38.0    
   54.8  0.00516  39.7    
   56.4  0.00576  40.6    
   58.0  0.00632  40.9    
   59.6  0.00651  41.2    
   61.2  0.00656  41.5    
   62.8  0.00653  42.0    
   64.4  0.00656  42.1    
   66.0  0.00654  41.8    
   67.6  0.00642  42.1    
   69.2  0.00633  42.6    
   70.8  0.00632  42.8    
   72.4  0.00625  42.5    
   74.0  0.00624  42.7    
   75.6  0.00620  42.8    
   77.2  0.00624  42.7    
   78.8  0.00614  42.8    
   80.4  0.00613  42.9    
   82.0  0.00614  42.7    
   83.6  0.00606  42.6    
   85.2  0.00605  42.3    
   86.8  0.00597  42.1    
   88.4  0.00587  41.8    
   90.0  0.00578  41.5    
   91.6  0.00563  40.8    
   93.2  0.00559  40.4    
   94.8  0.00545  39.8    
   96.4  0.00533  39.1    
   98.0  0.00522  38.1    
   99.6  0.00507  37.1    
  101.2  0.00496  36.2    
  102.8  0.00479  34.7    
  104.4  0.00463  33.3    
  106.0  0.00445  31.4    
  107.6  0.00424  29.0    
  109.2  0.00401  26.5    
  110.8  0.00373  23.0    
  112.4  0.00344  19.3    
  114.0  0.00310  15.1    
  115.6  0.00265  10.4    
  117.2  0.00229   6.2    
  118.8  0.00189   2.1    
  120.4  0.00155  -1.4    
  122.0  0.00136  -8.0    
  123.6  0.00144 -15.9
  125.2  0.00177 -15.6
  126.8  0.00221 -13.7
  129.2  0.00267 -11.1
  130.0  0.00305  -8.9
  131.6  0.00327  -7.7
  133.2  0.00350  -8.4
  134.8  0.00377 -11.7
  136.4  0.00423 -14.8
  138.0  0.00450 -14.3
  140.4  0.00485  -8.1
  141.2  0.00517   2.7
  142.8  0.00556  14.0
  144.4  0.00561  18.4
  146.0  0.00522  16.8
  147.6  0.00414  12.5
  147.6  0.00392  11.6
  149.2  0.00301   5.0
  150.8  0.00273   2.7
  152.4  0.00336  -7.7
  154.0  0.00474 -13.9
  155.6  0.00527 -22.5
  157.2  0.00553 -27.6
  158.8  0.00593 -25.8
  160.4  0.00605 -24.6
  162.0  0.00611 -23.7
  163.6  0.00589 -24.0
  165.2  0.00543 -25.6
  166.8  0.00510 -26.6
  168.4  0.00488 -26.4
  170.0  0.00475 -23.5
  171.6  0.00474 -19.5
  173.2  0.00475 -15.3
  174.8  0.00485 -11.4
  176.4  0.00486  -7.9
  178.0  0.00497  -4.9
  179.6  0.00506  -2.1
  181.2  0.00505   0.3
  182.8  0.00517   2.8
  184.4  0.00521   4.8
