## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  129    X0/2A= 0.7420    PHI= 140.0    RE= 6.41E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   581.7  118.9 -141.6    9.9 -0.781  0.057  0.108 45.3  714.6 -185.9
   582.3  122.2 -145.5   15.1 -0.777  0.030  0.137 45.3  711.6 -167.0
   582.7  125.3 -149.2   19.9 -0.779 -0.004  0.160 45.2  721.4 -128.2
   583.1  128.5 -153.0   24.9 -0.807 -0.041  0.170 45.2  777.7  -84.6
   583.5  131.8 -156.8   29.9 -0.835 -0.066  0.149 45.2  826.7  -59.6
   583.9  135.0 -160.5   34.9 -0.859 -0.077  0.112 45.3  865.8  -52.2
   584.5  138.2 -164.5   40.0 -0.862 -0.077  0.047 45.3  858.6  -54.9
   585.3  144.6 -172.0   49.9 -0.821 -0.016 -0.115 45.3  786.0  -83.5
   586.3  151.0 -179.7   60.0 -0.805  0.074 -0.342 45.2  879.3 -130.1
   587.2  157.3 -187.4   69.9 -0.822  0.087 -0.489 45.3 1053.6 -129.6
   588.2  163.8 -195.0   80.0 -0.837  0.082 -0.581 45.3 1195.9 -152.8
   589.2  170.2 -202.6   90.0 -0.849  0.087 -0.633 45.3 1289.9 -174.8
   590.0  176.6 -210.2   99.9 -0.851  0.091 -0.649 45.2 1317.4 -180.6
   591.0  183.0 -217.9  110.0 -0.849  0.099 -0.652 45.3 1320.4 -182.6
   592.0  189.4 -225.5  120.0 -0.849  0.113 -0.649 45.4 1325.9 -181.9
   593.0  195.7 -233.2  130.0 -0.852  0.127 -0.639 45.2 1311.4 -171.8
   593.8  202.2 -240.8  140.0 -0.854  0.140 -0.624 45.3 1300.4 -162.5
   595.8  214.9 -256.0  159.9 -0.853  0.143 -0.610 45.2 1273.5 -139.7
   597.5  227.8 -271.3  180.0 -0.860  0.144 -0.583 45.1 1249.4 -113.2
   599.5  240.5 -286.6  200.0 -0.860  0.142 -0.567 45.2 1234.4  -96.8
   601.5  253.4 -301.9  220.1 -0.863  0.134 -0.551 45.2 1213.4  -80.7
   603.3  266.2 -317.1  240.1 -0.868  0.125 -0.534 45.3 1208.2  -64.8
   605.3  279.0 -332.4  260.1 -0.871  0.115 -0.521 45.2 1192.8  -50.9
   607.0  291.8 -347.7  280.1 -0.870  0.107 -0.516 45.3 1183.0  -47.3
   609.0  304.6 -362.9  300.1 -0.871  0.096 -0.510 45.2 1171.6  -38.9
   610.8  317.4 -378.2  320.1 -0.873  0.090 -0.504 45.3 1172.1  -34.1
   612.6  330.1 -393.4  340.0 -0.877  0.083 -0.495 45.3 1171.5  -27.0
