## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  152    X0/2A= 0.8279    PHI= 159.9    RE= 6.24E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   788.4   55.0 -150.1    9.0 -1.005 -0.250  0.178 45.2 1240.5 -113.9
   789.2   56.7 -154.8   14.1 -1.004 -0.262  0.175 45.2 1246.2 -123.9
   789.9   58.4 -159.4   19.0 -1.003 -0.274  0.177 45.1 1248.5 -125.0
   790.5   60.1 -163.9   23.8 -0.998 -0.286  0.176 45.2 1247.8 -133.4
   791.3   61.8 -168.6   28.9 -0.995 -0.313  0.164 45.2 1252.6 -165.5
   792.0   63.5 -173.2   33.9 -0.982 -0.321  0.165 45.1 1227.5 -174.0
   792.8   65.2 -178.0   39.0 -0.981 -0.352  0.154 45.1 1239.9 -210.8
   794.2   68.6 -187.3   49.0 -0.967 -0.376  0.151 45.1 1228.1 -262.9
   795.7   72.0 -196.5   58.9 -0.974 -0.405  0.131 45.1 1261.4 -345.7
   797.1   75.4 -205.8   68.9 -1.002 -0.422  0.072 45.1 1324.0 -462.3
   798.5   78.7 -215.2   79.0 -1.040 -0.380 -0.001 45.2 1371.8 -617.6
   800.0   82.1 -224.4   88.9 -1.059 -0.311 -0.070 45.1 1360.6 -712.9
   801.4   85.5 -233.7   98.9 -1.055 -0.097 -0.251 45.1 1316.2 -750.4
   802.9   88.9 -243.0  108.9 -1.078  0.010 -0.308 45.1 1396.9 -865.4
   804.3   92.2 -252.3  118.9 -1.058  0.174 -0.423 45.1 1478.4 -865.4
   805.8   95.5 -261.6  128.9 -1.016  0.291 -0.483 45.1 1502.6 -736.8
   807.2   99.0 -270.9  138.9 -0.997  0.375 -0.465 45.1 1506.9 -582.0
   810.1  105.7 -289.5  158.9 -0.943  0.378 -0.424 45.2 1359.3 -382.2
   813.0  112.6 -308.1  178.9 -0.873  0.363 -0.424 45.2 1204.2 -243.5
   815.9  119.2 -326.7  198.9 -0.836  0.366 -0.434 45.1 1145.9 -103.4
   818.8  126.1 -345.3  218.9 -0.833  0.353 -0.427 45.2 1127.3   12.4
   821.7  132.8 -363.8  238.8 -0.826  0.340 -0.411 45.2 1089.7   83.7
   824.6  139.6 -382.4  258.8 -0.843  0.245 -0.399 45.2 1047.8   84.7
   827.4  146.4 -401.1  278.9 -0.861  0.193 -0.394 45.0 1045.1   81.8
   830.3  153.1 -419.6  298.8 -0.865  0.160 -0.401 45.1 1046.6   76.2
   833.2  160.0 -438.3  319.0 -0.868  0.133 -0.405 45.1 1050.6   73.9
   836.1  166.7 -456.8  338.9 -0.869  0.120 -0.412 45.2 1059.0   70.1
