## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  114    X0/2A= 0.6571    PHI= 160.0    RE= 6.46E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   377.5   68.4 -187.8   10.0 -1.036 -0.414  0.180 46.1 1501.0 -312.9
   377.8   70.0 -192.5   15.0 -1.034 -0.426  0.184 46.1 1510.7 -320.9
   378.0   71.8 -197.1   19.9 -1.032 -0.458  0.192 46.3 1550.5 -349.4
   378.3   73.4 -201.9   25.0 -1.024 -0.476  0.211 46.2 1557.5 -396.7
   378.6   75.1 -206.6   30.0 -1.018 -0.490  0.228 46.2 1565.5 -459.6
   379.0   76.9 -211.2   34.9 -1.016 -0.482  0.218 46.1 1540.2 -524.6
   379.1   78.6 -215.9   39.9 -1.025 -0.460  0.209 46.3 1540.9 -601.9
   379.6   82.0 -225.2   49.9 -1.066 -0.389  0.124 46.2 1527.1 -784.9
   380.3   85.3 -234.7   59.9 -1.065 -0.223  0.017 46.1 1381.5 -887.0
   381.0   88.8 -244.1   70.0 -1.118  0.029 -0.156 46.2 1493.3-1030.3
   381.5   92.2 -253.4   79.9 -1.087  0.250 -0.302 46.2 1563.2-1021.5
   382.1   95.6 -262.9   90.0 -1.003  0.447 -0.349 46.0 1547.1 -825.2
   382.6   99.1 -272.2  100.0 -0.915  0.547 -0.386 46.1 1507.5 -615.7
   383.3  102.5 -281.7  110.1 -0.877  0.559 -0.376 46.2 1443.3 -448.0
   383.8  106.0 -291.0  120.0 -0.871  0.517 -0.376 46.2 1380.5 -316.3
   384.5  109.4 -300.4  130.0 -0.873  0.471 -0.367 46.1 1317.2 -206.6
   384.9  112.9 -309.8  140.1 -0.884  0.424 -0.357 46.2 1287.5 -116.4
   386.1  119.6 -328.5  160.0 -0.881  0.352 -0.350 46.0 1201.4   -6.7
   387.3  126.4 -347.3  180.0 -0.870  0.316 -0.347 46.2 1156.8   71.8
   388.4  133.3 -366.2  200.2 -0.889  0.223 -0.354 46.1 1139.9   42.5
   389.6  140.1 -384.9  220.1 -0.893  0.178 -0.365 46.2 1137.9   38.2
   390.6  146.9 -403.5  239.9 -0.899  0.144 -0.371 46.2 1143.5   39.9
   391.7  153.7 -422.4  260.0 -0.896  0.124 -0.384 46.1 1139.4   34.4
   392.9  160.6 -441.2  280.1 -0.894  0.108 -0.394 46.3 1145.4   32.7
   394.0  167.4 -459.9  300.0 -0.896  0.090 -0.396 46.2 1142.7   34.0
   395.2  174.2 -478.7  320.1 -0.893  0.079 -0.406 46.2 1145.7   28.9
   396.2  181.0 -497.4  340.0 -0.896  0.068 -0.411 46.1 1147.6   28.5
