## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  198    X0/2A= 0.5272    PHI=  30.0    RE= 6.43E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
    64.9  104.8  181.2    9.6 -0.885 -0.420 -0.209 45.2 1150.6   32.0
    64.8  107.3  185.6   14.7 -0.903 -0.394 -0.249 45.0 1173.8  -16.2
    65.0  109.9  189.9   19.7 -0.902 -0.380 -0.265 45.1 1175.0   -6.2
    65.1  112.3  194.2   24.6 -0.902 -0.366 -0.277 45.1 1168.9   -2.8
    65.0  114.8  198.6   29.7 -0.900 -0.351 -0.289 45.1 1160.6   -0.3
    65.1  117.4  202.8   34.6 -0.899 -0.337 -0.296 45.1 1149.1    9.3
    65.1  119.9  207.3   39.8 -0.898 -0.328 -0.303 45.2 1150.1   19.2
    65.3  124.8  215.8   49.6 -0.892 -0.301 -0.321 45.0 1127.0   30.8
    65.2  129.9  224.6   59.8 -0.894 -0.283 -0.330 45.0 1122.3   39.9
    65.2  134.8  233.2   69.7 -0.890 -0.264 -0.338 45.1 1116.1   44.6
    65.3  139.9  241.9   79.7 -0.888 -0.248 -0.346 45.1 1108.8   55.2
    65.3  144.8  250.6   89.7 -0.881 -0.231 -0.358 45.1 1096.0   60.1
    65.4  149.9  259.3   99.8 -0.883 -0.223 -0.362 45.0 1092.6   64.1
    65.5  154.8  267.9  109.7 -0.880 -0.219 -0.372 45.1 1099.3   60.7
    65.5  159.8  276.6  119.7 -0.883 -0.213 -0.375 45.1 1099.7   61.3
    65.5  164.8  285.2  129.7 -0.879 -0.200 -0.384 45.1 1096.9   61.4
    65.6  169.9  294.0  139.9 -0.876 -0.188 -0.385 45.1 1087.5   69.4
    65.7  179.8  311.3  159.8 -0.867 -0.162 -0.396 45.1 1067.5   79.9
    65.8  189.9  328.6  179.8 -0.867 -0.141 -0.405 45.0 1062.5   76.9
    66.1  199.9  345.8  199.7 -0.868 -0.123 -0.411 45.0 1066.8   71.5
    66.2  209.8  363.2  219.7 -0.869 -0.115 -0.419 45.0 1072.3   67.2
    66.4  219.8  380.6  239.8 -0.870 -0.107 -0.425 45.1 1079.6   62.4
    66.4  229.9  397.9  259.8 -0.871 -0.101 -0.428 45.1 1084.3   63.7
    66.6  239.8  415.2  279.8 -0.875 -0.095 -0.429 45.1 1094.5   61.6
    66.9  249.9  432.5  299.8 -0.871 -0.090 -0.437 45.1 1092.2   57.0
    66.9  259.9  449.8  319.8 -0.870 -0.085 -0.441 45.1 1094.3   53.8
    67.1  269.9  467.1  339.8 -0.871 -0.077 -0.446 45.1 1098.5   48.1
