## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN: 3165    X0/2A= 0.8758    PHI= 100.0    RE= 6.60E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   903.9  139.6  -24.6   10.0 -0.817  0.074 -0.643 45.2 1269.2 -104.3
   904.7  144.4  -25.4   15.0 -0.836  0.041 -0.632 45.2 1286.0 -111.2
   905.6  149.2  -26.2   19.9 -0.828  0.031 -0.644 45.2 1283.5 -111.0
   906.5  154.2  -27.0   25.0 -0.824  0.024 -0.650 45.2 1286.2 -114.0
   907.4  158.9  -27.9   29.9 -0.833  0.017 -0.642 45.2 1290.5 -117.4
   908.3  163.9  -28.7   35.1 -0.828  0.014 -0.649 45.1 1288.6 -118.7
   909.2  168.7  -29.6   40.0 -0.835  0.008 -0.636 45.2 1284.1 -111.5
   911.3  178.3  -31.3   50.0 -0.837  0.005 -0.637 45.1 1284.3 -117.7
   913.1  188.0  -33.1   60.0 -0.823 -0.003 -0.644 45.2 1275.3 -103.1
   914.9  197.7  -34.7   70.0 -0.834 -0.006 -0.626 45.2 1270.4  -97.6
   916.7  207.4  -36.4   80.0 -0.826 -0.013 -0.628 45.1 1251.4  -84.1
   918.7  217.0  -38.2   90.0 -0.831 -0.011 -0.625 45.1 1254.1  -90.9
   920.6  226.7  -39.9  100.0 -0.832 -0.016 -0.617 45.2 1251.3  -79.2
   922.4  236.4  -41.6  110.0 -0.840 -0.012 -0.612 45.2 1262.0  -87.3
   924.2  246.1  -43.2  120.0 -0.839 -0.015 -0.610 45.2 1254.8  -80.1
   926.2  255.7  -45.1  130.0 -0.834 -0.016 -0.612 45.3 1253.9  -76.9
   928.1  265.4  -46.7  140.0 -0.839 -0.016 -0.604 45.2 1249.4  -71.7
   931.7  284.8  -50.1  160.0 -0.836 -0.015 -0.605 45.1 1240.6  -70.7
   935.5  304.1  -53.5  180.0 -0.845 -0.015 -0.590 45.2 1238.7  -67.5
   939.2  323.5  -57.0  200.1 -0.846 -0.015 -0.585 45.3 1240.4  -60.8
   943.0  342.8  -60.4  220.0 -0.845 -0.014 -0.581 45.2 1229.6  -57.8
   946.7  362.2  -63.8  240.1 -0.852 -0.014 -0.571 45.3 1235.7  -56.9
   950.5  381.6  -67.2  260.1 -0.846 -0.014 -0.576 45.3 1226.6  -50.0
   954.1  400.9  -70.6  280.0 -0.852 -0.017 -0.565 45.2 1222.3  -43.0
   957.8  420.2  -74.0  300.0 -0.850 -0.015 -0.566 45.3 1222.4  -44.9
   961.6  439.6  -77.4  320.1 -0.854 -0.015 -0.555 45.2 1214.1  -43.6
   965.3  458.9  -80.8  340.0 -0.846 -0.015 -0.563 45.1 1198.9  -38.9
