## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  213    X0/2A= 0.5272    PHI= 175.0    RE= 6.36E06
#
#    X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
    65.1   18.2 -208.7    9.8 -1.017 -0.111  0.088 45.1 1192.9  -62.9
    65.3   18.6 -213.7   14.8 -1.017 -0.090  0.117 45.2 1198.2  -65.0
    65.3   19.0 -218.6   19.7 -1.016 -0.066  0.133 45.2 1195.0  -69.4
    65.2   19.5 -223.6   24.7 -1.017 -0.050  0.147 45.1 1196.9  -71.0
    65.4   19.9 -228.6   29.8 -1.016 -0.036  0.158 45.2 1201.6  -69.3
    65.4   20.3 -233.5   34.7 -1.018 -0.016  0.159 45.2 1204.7  -72.1
    65.5   20.7 -238.5   39.7 -1.021  0.008  0.156 45.3 1215.6  -82.4
    65.7   21.6 -248.5   49.7 -1.004  0.040  0.000 45.2 1164.2  -35.1
    65.6   22.5 -258.4   59.7 -0.992  0.059  0.086 45.2 1130.5    3.0
    65.7   23.3 -268.4   69.7 -0.981  0.073  0.045 45.3 1106.1   23.0
    65.9   24.3 -278.4   79.8 -0.975  0.076  0.003 45.1 1083.3   44.2
    66.0   25.1 -288.3   89.7 -0.967  0.073 -0.040 45.2 1069.8   57.1
    66.0   26.0 -298.2   99.6 -0.961  0.074 -0.073 45.1 1058.6   64.1
    66.1   26.8 -308.2  109.7 -0.957  0.066 -0.107 45.2 1058.1   74.5
    66.2   27.7 -318.2  119.7 -0.953  0.058 -0.142 45.2 1059.0   71.0
    66.3   28.6 -328.2  129.7 -0.949  0.055 -0.172 45.1 1054.3   67.5
    66.5   29.5 -338.1  139.7 -0.946  0.050 -0.194 45.2 1065.7   70.0
    66.6   31.2 -358.0  159.7 -0.939  0.036 -0.235 45.3 1072.4   67.3
    66.9   33.0 -377.9  179.6 -0.934  0.030 -0.269 45.1 1071.7   59.5
    67.1   34.7 -397.9  199.7 -0.927  0.024 -0.299 45.2 1079.7   50.3
    67.3   36.5 -417.8  219.7 -0.923  0.016 -0.322 45.2 1088.0   45.2
    67.6   38.2 -437.8  239.8 -0.917  0.011 -0.341 45.1 1086.3   38.4
    67.7   40.0 -457.6  259.7 -0.912  0.010 -0.358 45.1 1088.5   34.7
    68.0   41.8 -477.6  279.7 -0.910  0.006 -0.370 45.2 1097.1   31.9
    68.2   43.5 -497.5  299.7 -0.907  0.002 -0.382 45.1 1098.9   31.7
    68.5   45.2 -517.4  319.7 -0.903 -0.001 -0.390 45.2 1099.2   29.2
    68.6   46.9 -537.3  339.7 -0.903 -0.001 -0.399 45.1 1104.2   24.3
