## Nomenclature:
# PHI      Circumferential model angle
# CF       Wall shear stress coefficient (= local wall shear stress
#                       normalized with free stream dynamic pressure)
# GAMMA    Wall shear stress angle
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   GOETTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    3MX3M LOW SPEED WIND TUNNEL              NATURAL TRANSITION
# 
#    RUN: 5 104 7                             INCIDENCE  ALPHA= 29.7 DEG.
# 
#    VELOCITY  UINF= 45.0 M/S                 REYNOLDS N0.  RE= 0.654E+07
# 
#    MEASURING STATION:    NO. 11  ,  X0/2A= 0.883
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.2  0.00185  -7.6    
   -2.6  0.00183  -5.2    
   -1.0  0.00184  -3.0    
    0.6  0.00184   0.1    
    2.2  0.00186   1.8    
    3.8  0.00182   4.9    
    5.4  0.00183   7.1    
    7.0  0.00184   9.7    
    8.6  0.00182  12.0    
   10.2  0.00183  14.6    
   11.8  0.00181  17.0    
   13.4  0.00179  19.3    
   15.0  0.00178  21.8    
   16.6  0.00175  23.9    
   18.2  0.00176  26.8    
   19.8  0.00172  28.7    
   21.4  0.00170  31.3    
   23.0  0.00167  33.4    
   24.6  0.00168  35.6    
   26.2  0.00166  37.3    
   27.8  0.00165  39.4    
   29.4  0.00161  41.2    
   31.0  0.00160  43.1    
   32.6  0.00158  44.7    
   34.2  0.00155  45.9    
   35.8  0.00154  47.7    
   37.4  0.00152  48.8    
   39.0  0.00150  50.1    
   40.6  0.00147  50.8    
   42.2  0.00147  50.8    
   43.8  0.00148  50.7    
   45.4  0.00147  50.8    
   47.0  0.00149  50.0    
   48.6  0.00150  49.4    
   50.2  0.00166  47.6    
   51.8  0.00262  44.1    
   54.2  0.00450  42.4    
   55.0  0.00399  42.8    
   56.6  0.00367  43.1    
   58.2  0.00440  42.0    
   59.8  0.00383  39.6    
   61.4  0.00387  38.0    
   63.0  0.00208  36.6    
   65.4  0.00240  33.3    
   66.2  0.00305  30.5    
   67.8  0.00349  30.5    
   69.4  0.00423  34.7    
   71.0  0.00485  38.3    
   72.6  0.00503  39.5    
   72.6  0.00497  39.4    
   74.2  0.00506  40.9    
   75.8  0.00494  40.3    
   77.4  0.00485  40.0    
   79.0  0.00455  39.3    
   80.6  0.00416  39.0    
   82.2  0.00406  38.0    
   83.8  0.00399  35.6    
   85.4  0.00386  32.2    
   87.0  0.00368  29.3    
   88.6  0.00350  25.6    
   90.2  0.00323  21.4    
   91.8  0.00294  16.4    
   93.4  0.00264  13.5    
   95.0  0.00215  10.2    
   96.6  0.00170   7.7    
   98.2  0.00129   5.6    
   99.8  0.00096  -1.9    
  101.4  0.00082 -11.0    
  103.0  0.00085 -14.7    
  104.6  0.00094 -14.1    
  106.2  0.00103 -12.6    
  107.8  0.00113 -10.1    
  109.4  0.00118  -8.3    
  111.0  0.00127  -6.5    
  112.6  0.00130  -4.3    
  112.6  0.00131  -3.8    
  114.2  0.00136  -2.4    
  115.8  0.00140  -1.5    
  117.4  0.00142  -1.9    
  119.0  0.00150  -3.3    
  120.6  0.00164  -4.4
  122.2  0.00178  -5.1
  123.8  0.00192  -5.2
  125.4  0.00206  -5.0
  127.0  0.00223  -4.1
  128.6  0.00236  -3.0
  130.2  0.00249  -2.2
  131.8  0.00259  -0.8
  133.4  0.00265   1.0
  135.0  0.00266   3.0
  136.6  0.00269   4.2
  138.2  0.00269   5.6
  139.8  0.00263   6.0
  141.4  0.00250   6.9
  143.0  0.00228   7.1
  145.4  0.00202   6.6
  146.2  0.00185   5.0
  147.8  0.00164   3.2
  149.4  0.00161   1.2
  151.0  0.00164   0.2
  152.6  0.00179  -1.8
  154.2  0.00208  -5.0
  155.8  0.00244  -7.4
  157.4  0.00296  -8.3
  159.0  0.00361  -8.4
  160.6  0.00400  -8.9
  162.2  0.00435  -9.9
  163.8  0.00470  -9.5
  165.4  0.00484 -10.0
  167.0  0.00503  -9.8
  168.6  0.00519  -9.7
  170.2  0.00530  -8.8
  171.8  0.00539  -7.8
  173.4  0.00548  -7.4
  175.0  0.00554  -6.8
  176.6  0.00559  -4.6
  178.2  0.00556  -3.3
  179.8  0.00556  -0.9
  181.4  0.00556   0.2
  183.0  0.00555   0.6
  184.6  0.00545   3.6
