## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  197    X0/2A= 0.5272    PHI=   0.0    RE= 6.46E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
    64.8    0.0  209.3    9.6 -0.928  0.017 -0.003 45.1  985.2  154.3
    64.9    0.0  214.3   14.6 -0.928  0.004 -0.037 45.1  986.6  154.2
    65.0    0.0  219.3   19.6 -0.921 -0.005 -0.065 45.1  977.2  164.2
    65.0    0.0  224.3   24.6 -0.920 -0.006 -0.085 45.0  976.4  163.7
    65.1    0.0  229.3   29.6 -0.917 -0.009 -0.104 45.0  972.7  170.1
    65.1    0.0  234.3   34.6 -0.915 -0.010 -0.121 44.9  969.2  168.1
    65.1    0.0  239.2   39.5 -0.913 -0.010 -0.138 45.2  980.5  166.7
    65.3    0.0  249.2   49.5 -0.911 -0.014 -0.166 45.0  977.0  163.8
    65.2    0.0  259.3   59.6 -0.907 -0.016 -0.191 45.0  981.4  159.7
    65.3    0.0  269.3   69.6 -0.908 -0.012 -0.214 45.0  993.5  146.2
    65.4    0.0  279.3   79.6 -0.904 -0.014 -0.235 45.1  997.8  140.1
    65.5    0.0  289.3   89.6 -0.905 -0.014 -0.250 45.0 1006.9  133.2
    65.4    0.0  299.3   99.6 -0.903 -0.014 -0.269 45.1 1015.9  127.0
    65.6    0.0  309.4  109.7 -0.903 -0.013 -0.281 45.0 1020.3  119.6
    65.7    0.0  319.3  119.6 -0.901 -0.018 -0.294 45.1 1025.6  119.6
    65.6    0.0  329.4  129.7 -0.900 -0.018 -0.304 45.0 1029.7  116.9
    65.7    0.0  339.4  139.7 -0.899 -0.018 -0.318 44.9 1033.0  105.9
    65.9    0.0  359.4  159.7 -0.897 -0.016 -0.338 45.0 1047.5   90.7
    66.1    0.0  379.3  179.6 -0.895 -0.018 -0.355 45.1 1059.7   82.7
    66.1    0.0  399.4  199.7 -0.894 -0.017 -0.369 45.0 1066.2   74.2
    66.3    0.0  419.3  219.6 -0.893 -0.019 -0.378 45.0 1072.1   67.9
    66.6    0.0  439.3  239.6 -0.891 -0.020 -0.390 45.0 1076.8   62.4
    66.7    0.0  459.2  259.5 -0.891 -0.021 -0.397 45.0 1083.0   58.1
    66.8    0.0  479.3  279.6 -0.890 -0.023 -0.405 45.1 1091.9   54.6
    67.0    0.0  499.3  299.6 -0.889 -0.022 -0.411 45.0 1094.2   48.8
    67.2    0.0  519.2  319.5 -0.887 -0.021 -0.419 45.0 1095.3   40.8
    67.4    0.0  539.2  339.5 -0.887 -0.022 -0.424 45.0 1098.8   35.8
