## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  109    X0/2A= 0.6571    PHI= 135.0    RE= 6.55E06
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   377.5  141.3 -141.3   10.0 -0.739 -0.040  0.092 46.1  662.3 -163.1
   377.8  144.8 -144.8   14.9 -0.735 -0.019  0.072 46.0  647.2 -177.3
   377.9  148.3 -148.3   19.9 -0.746  0.004 -0.006 46.0  659.3 -209.1
   378.2  151.9 -151.8   24.9 -0.741  0.038 -0.094 46.1  665.0 -226.8
   378.5  155.4 -155.4   29.9 -0.710  0.100 -0.190 46.1  653.3 -206.8
   378.6  158.9 -158.8   34.8 -0.730  0.171 -0.378 46.2  842.2 -169.0
   378.9  162.4 -162.4   39.8 -0.809  0.187 -0.525 46.2 1152.8 -163.4
   379.5  169.6 -169.5   50.0 -0.857  0.160 -0.616 46.2 1359.6 -171.7
   380.2  176.5 -176.5   59.8 -0.857  0.141 -0.623 46.1 1355.4 -171.4
   380.8  183.6 -183.6   69.9 -0.863  0.140 -0.619 46.0 1361.2 -174.0
   381.2  190.7 -190.6   79.9 -0.862  0.129 -0.620 46.2 1366.0 -169.1
   381.8  197.7 -197.7   89.8 -0.866  0.134 -0.617 46.2 1368.6 -172.7
   382.4  204.7 -204.8   99.8 -0.867  0.138 -0.610 46.1 1360.2 -172.4
   383.0  211.8 -211.9  109.9 -0.870  0.144 -0.605 46.1 1360.7 -173.2
   383.5  218.8 -218.9  119.8 -0.872  0.143 -0.597 46.1 1349.0 -163.1
   384.1  225.9 -226.0  129.9 -0.873  0.138 -0.591 46.0 1336.8 -155.3
   384.7  232.9 -233.0  139.8 -0.874  0.139 -0.581 46.2 1336.6 -145.0
   385.8  247.0 -247.1  159.8 -0.878  0.131 -0.565 46.1 1316.0 -125.1
   387.0  261.2 -261.3  179.9 -0.876  0.129 -0.559 46.1 1303.4 -118.2
   388.0  275.4 -275.4  199.9 -0.880  0.121 -0.542 46.2 1290.4 -100.3
   389.3  289.5 -289.5  219.9 -0.880  0.113 -0.534 46.0 1267.3  -89.1
   390.3  303.5 -303.6  239.8 -0.885  0.102 -0.523 46.1 1265.8  -77.2
   391.5  317.7 -317.8  259.9 -0.882  0.095 -0.523 46.1 1257.5  -73.6
   392.6  331.9 -331.9  279.9 -0.882  0.087 -0.516 46.1 1251.0  -68.1
   393.8  346.0 -346.0  299.9 -0.884  0.081 -0.510 46.1 1243.3  -59.9
   395.0  360.1 -360.2  320.0 -0.886  0.071 -0.504 46.1 1238.4  -53.0
   396.1  374.2 -374.3  339.9 -0.884  0.067 -0.505 46.1 1236.1  -53.7
