## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  210    X0/2A= 0.5272    PHI= 160.0    RE= 6.38E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
    65.9   71.7 -197.6   10.5 -1.005 -0.637  0.286 45.2 1694.1 -595.6
    66.0   73.4 -202.3   15.5 -0.944 -0.589  0.321 45.3 1521.6 -643.0
    66.1   75.1 -207.0   20.5 -0.947 -0.420  0.284 45.2 1305.2 -677.5
    66.0   76.8 -211.6   25.4 -0.997 -0.279  0.237 45.2 1274.0 -673.8
    66.1   78.5 -216.3   30.4 -1.047 -0.118  0.171 45.2 1289.2 -643.1
    66.2   80.2 -221.1   35.5 -1.107  0.007  0.086 45.2 1396.8 -718.0
    66.1   82.0 -225.7   40.4 -1.128  0.112  0.034 45.2 1454.7 -731.2
    66.3   85.4 -235.2   50.5 -1.062  0.291 -0.084 45.1 1374.9 -669.4
    66.3   88.8 -244.5   60.4 -0.939  0.489 -0.160 45.1 1293.3 -520.2
    66.5   92.2 -253.9   70.4 -0.930  0.569 -0.208 45.1 1394.8 -349.9
    66.7   95.6 -263.4   80.5 -0.944  0.498 -0.242 45.1 1355.4 -201.3
    66.7   99.1 -272.8   90.5 -0.928  0.484 -0.260 45.2 1322.4  -67.0
    66.9  102.5 -282.2  100.5 -0.916  0.433 -0.281 45.2 1257.5  -20.5
    67.0  105.9 -291.5  110.4 -0.909  0.376 -0.288 45.1 1191.8    9.2
    67.2  109.3 -301.0  120.5 -0.907  0.323 -0.304 45.2 1159.7   17.6
    67.2  112.7 -310.4  130.5 -0.910  0.260 -0.317 45.2 1134.2    7.1
    67.4  116.2 -319.8  140.6 -0.916  0.226 -0.331 45.2 1139.5   -7.0
    67.6  123.0 -338.6  160.6 -0.918  0.179 -0.350 45.1 1133.1   -5.5
    67.8  129.9 -357.4  180.6 -0.918  0.147 -0.363 45.1 1130.5   -8.0
    68.1  136.7 -376.2  200.6 -0.917  0.121 -0.378 45.2 1135.9   -4.3
    68.3  143.5 -395.0  220.6 -0.909  0.107 -0.393 45.2 1130.5   -6.4
    68.5  150.4 -413.8  240.6 -0.912  0.087 -0.396 45.2 1134.4   -5.5
    68.7  157.3 -432.6  260.6 -0.908  0.078 -0.408 45.1 1130.7   -8.4
    69.0  164.1 -451.4  280.6 -0.908  0.064 -0.416 45.1 1134.5   -6.6
    69.2  171.0 -470.2  300.7 -0.905  0.059 -0.426 45.2 1141.4  -14.3
    69.4  177.8 -489.0  320.6 -0.905  0.049 -0.429 45.2 1143.1  -12.0
    69.6  184.6 -507.8  340.6 -0.903  0.042 -0.435 45.1 1143.1  -17.2
