## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  163    X0/2A= 0.5701    PHI=  99.9    RE= 6.22E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   168.2  205.0  -35.9   10.1 -0.876  0.120 -0.819 45.1 1619.8 -507.3
   168.2  209.8  -36.7   15.0 -0.876  0.116 -0.803 45.1 1589.8 -483.9
   168.4  214.7  -37.5   19.9 -0.881  0.107 -0.792 45.1 1574.7 -460.3
   168.6  219.7  -38.5   25.0 -0.883  0.100 -0.775 45.2 1551.0 -440.9
   168.8  224.6  -39.4   30.0 -0.881  0.094 -0.770 45.1 1535.8 -425.3
   169.0  229.6  -40.3   35.1 -0.883  0.087 -0.760 45.1 1523.7 -404.8
   169.0  234.5  -41.1   40.1 -0.884  0.082 -0.747 45.0 1496.4 -387.8
   169.2  244.3  -42.8   50.0 -0.887  0.069 -0.730 45.2 1479.0 -356.4
   169.5  254.2  -44.6   60.1 -0.885  0.059 -0.718 45.1 1454.0 -338.9
   169.7  264.0  -46.3   70.0 -0.889  0.050 -0.700 45.1 1430.6 -314.5
   169.9  273.9  -48.0   80.1 -0.888  0.045 -0.690 45.2 1419.8 -297.4
   170.1  283.7  -49.7   90.0 -0.886  0.040 -0.679 45.1 1392.3 -284.0
   170.5  293.6  -51.5  100.1 -0.888  0.034 -0.668 45.1 1379.6 -259.7
   170.7  303.4  -53.2  110.0 -0.888  0.033 -0.658 45.0 1358.9 -251.0
   170.8  313.3  -55.0  120.1 -0.887  0.030 -0.651 45.1 1350.1 -239.1
   171.0  323.2  -56.6  130.1 -0.889  0.025 -0.639 45.2 1344.9 -220.0
   171.4  333.0  -58.5  140.1 -0.888  0.025 -0.634 45.1 1327.7 -217.7
   171.8  352.7  -61.9  160.1 -0.890  0.020 -0.617 45.0 1300.7 -191.8
   172.3  372.4  -65.4  180.1 -0.888  0.013 -0.605 45.0 1284.5 -171.3
   172.7  392.1  -68.8  200.1 -0.885  0.012 -0.599 45.1 1277.0 -163.2
   173.3  411.8  -72.3  220.1 -0.887  0.010 -0.586 45.1 1262.3 -149.4
   173.7  431.5  -75.7  240.1 -0.889  0.009 -0.576 45.0 1249.4 -136.6
   174.2  451.2  -79.2  260.1 -0.886  0.003 -0.571 45.2 1243.4 -123.6
   174.6  470.8  -82.6  280.0 -0.882  0.006 -0.570 45.1 1229.6 -121.5
   175.2  490.6  -86.1  300.2 -0.882  0.005 -0.561 45.1 1220.1 -112.1
   175.5  510.3  -89.5  320.1 -0.882  0.001 -0.554 45.0 1208.3  -99.4
   176.1  529.9  -93.1  340.1 -0.882 -0.001 -0.550 45.1 1207.7  -91.7
