## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  149    X0/2A= 0.8279    PHI= 144.8    RE= 6.26E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   788.5   92.2 -130.7    9.1 -0.706 -0.036  0.085 45.1  569.8  -71.7
   789.0   95.2 -134.7   14.1 -0.739 -0.115  0.089 45.1  635.8  -49.1
   789.8   97.9 -138.8   19.1 -0.828 -0.175  0.102 45.1  815.9  -43.4
   790.5  100.9 -142.8   24.1 -0.886 -0.204  0.094 45.0  934.6  -48.6
   791.2  103.7 -146.8   29.1 -0.937 -0.219  0.079 45.1 1046.7  -33.6
   791.9  106.6 -150.9   34.1 -0.957 -0.226  0.058 45.1 1090.6  -23.0
   792.7  109.4 -154.9   39.1 -0.967 -0.218  0.031 45.1 1105.4  -23.1
   794.1  115.0 -163.0   49.0 -0.975 -0.199 -0.013 45.2 1114.7  -15.3
   795.5  120.7 -171.1   59.0 -0.974 -0.168 -0.079 45.1 1106.7  -24.9
   796.9  126.4 -179.2   69.0 -0.969 -0.134 -0.158 45.2 1106.2  -60.8
   798.4  132.1 -187.3   79.0 -0.943 -0.106 -0.252 45.1 1082.5 -105.8
   799.8  137.8 -195.4   89.0 -0.892 -0.035 -0.380 45.2 1058.5 -186.0
   801.2  143.5 -203.5   99.0 -0.858  0.039 -0.508 45.0 1110.3 -254.3
   802.7  149.2 -211.6  109.1 -0.843  0.055 -0.568 45.1 1160.6 -263.3
   804.1  154.8 -219.7  119.0 -0.838  0.090 -0.632 45.1 1242.1 -265.8
   805.5  160.5 -227.8  129.0 -0.834  0.098 -0.658 45.1 1274.4 -261.1
   806.9  166.2 -235.9  139.0 -0.841  0.126 -0.684 45.1 1338.4 -243.6
   810.0  177.4 -252.2  159.0 -0.839  0.149 -0.671 45.2 1323.1 -205.5
   812.9  188.8 -268.3  179.0 -0.836  0.153 -0.652 45.1 1288.4 -170.5
   815.7  200.2 -284.5  199.0 -0.846  0.165 -0.601 45.1 1242.2 -115.7
   818.6  211.6 -300.7  219.0 -0.845  0.159 -0.585 45.2 1219.6  -89.2
   821.6  222.9 -317.0  239.1 -0.855  0.154 -0.547 45.1 1185.7  -57.2
   824.5  234.3 -333.2  259.1 -0.854  0.144 -0.537 45.1 1165.4  -45.9
   827.3  245.5 -349.4  279.0 -0.858  0.130 -0.523 45.1 1152.7  -29.6
   830.4  256.9 -365.7  299.1 -0.861  0.120 -0.512 45.1 1142.9  -20.6
   833.2  268.3 -381.9  319.1 -0.862  0.109 -0.507 45.1 1138.7  -14.3
   836.1  279.7 -398.1  339.1 -0.864  0.099 -0.496 45.2 1131.9   -4.0
