## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  110    X0/2A= 0.6571    PHI= 140.0    RE= 6.50E06
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   377.5  128.5 -153.0    9.9 -0.793  0.031  0.137 46.2  769.4 -210.9
   377.7  131.7 -156.8   14.9 -0.789  0.007  0.166 46.1  769.3 -191.9
   378.0  134.8 -160.7   19.9 -0.787 -0.008  0.170 46.1  768.5 -174.9
   378.2  138.1 -164.5   24.9 -0.789 -0.038  0.145 46.1  764.1 -134.0
   378.6  141.3 -168.3   29.9 -0.777 -0.039  0.077 46.1  724.1 -133.3
   378.7  144.4 -172.1   34.8 -0.763 -0.017 -0.005 46.1  691.0 -134.7
   379.1  147.7 -175.9   39.9 -0.754  0.056 -0.139 46.1  699.1 -162.9
   379.6  154.0 -183.6   49.8 -0.788  0.141 -0.393 46.0  937.1 -125.2
   380.2  160.5 -191.2   59.8 -0.853  0.151 -0.574 46.1 1278.7 -151.2
   380.7  166.9 -198.8   69.8 -0.863  0.137 -0.618 46.1 1354.8 -173.7
   381.4  173.3 -206.6   79.9 -0.864  0.142 -0.627 46.2 1377.1 -190.5
   381.9  179.8 -214.2   89.9 -0.864  0.149 -0.626 46.2 1374.8 -192.5
   382.5  186.1 -221.8   99.8 -0.869  0.153 -0.619 46.2 1378.5 -184.0
   383.2  192.6 -229.6  110.0 -0.868  0.163 -0.609 46.1 1362.1 -179.0
   383.7  199.0 -237.2  119.9 -0.869  0.165 -0.602 46.2 1357.4 -168.8
   384.3  205.5 -244.9  130.0 -0.871  0.165 -0.594 46.1 1345.2 -157.9
   384.8  211.9 -252.5  140.0 -0.870  0.166 -0.581 46.2 1335.1 -144.6
   386.0  224.7 -267.9  160.0 -0.874  0.164 -0.559 46.2 1308.8 -121.3
   387.1  237.6 -283.1  180.0 -0.878  0.152 -0.540 46.1 1285.4  -99.5
   388.2  250.4 -298.4  200.0 -0.883  0.140 -0.521 46.1 1266.9  -80.4
   389.2  263.2 -313.7  220.0 -0.883  0.128 -0.513 46.2 1261.8  -65.4
   390.5  276.0 -329.0  239.9 -0.881  0.117 -0.503 46.1 1236.4  -52.2
   391.6  288.9 -344.2  259.9 -0.880  0.109 -0.501 46.1 1227.3  -46.6
   392.6  301.7 -359.5  279.9 -0.882  0.100 -0.500 46.2 1234.1  -47.0
   393.9  314.5 -374.9  299.9 -0.882  0.091 -0.497 46.2 1225.9  -42.3
   394.9  327.4 -390.1  319.9 -0.885  0.083 -0.491 46.1 1221.7  -38.6
   396.0  340.2 -405.4  339.9 -0.885  0.074 -0.490 46.2 1222.1  -34.3
