## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  208    X0/2A= 0.5272    PHI= 150.0    RE= 6.38E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
    65.9  107.4 -186.5   15.5 -0.935 -0.599 -0.081 45.2 1405.4 -474.7
    66.0  109.9 -190.8   20.5 -0.911 -0.536 -0.160 45.2 1294.8 -499.8
    65.9  112.3 -195.1   25.4 -0.910 -0.414 -0.242 45.2 1202.7 -541.5
    66.0  114.9 -199.4   30.4 -0.924 -0.252 -0.328 45.2 1160.9 -537.2
    66.0  117.4 -203.8   35.5 -0.941 -0.098 -0.407 45.1 1199.3 -479.5
    66.0  119.8 -208.0   40.3 -1.015  0.023 -0.491 45.1 1435.1 -599.6
    66.1  124.8 -216.7   50.4 -0.950  0.166 -0.599 45.1 1455.3 -642.9
    66.3  129.9 -225.4   60.5 -0.850  0.381 -0.630 45.1 1429.7 -476.9
    66.4  134.8 -234.1   70.4 -0.870  0.410 -0.632 45.1 1499.4 -353.8
    66.6  139.9 -242.8   80.5 -0.876  0.414 -0.570 45.1 1429.1 -238.5
    66.6  144.8 -251.4   90.4 -0.870  0.419 -0.534 45.1 1381.6 -151.1
    66.8  149.9 -260.1  100.5 -0.874  0.385 -0.501 45.1 1318.2 -110.6
    66.9  154.8 -268.7  110.4 -0.879  0.349 -0.480 45.2 1277.8  -91.4
    67.1  159.9 -277.4  120.5 -0.889  0.291 -0.467 45.1 1236.6  -86.1
    67.1  164.8 -286.1  130.5 -0.894  0.255 -0.459 45.1 1220.8  -79.2
    67.3  169.9 -294.7  140.5 -0.899  0.230 -0.454 45.2 1216.6  -76.7
    67.4  179.8 -312.0  160.4 -0.903  0.194 -0.450 45.2 1202.7  -66.7
    67.7  189.9 -329.4  180.5 -0.905  0.162 -0.447 45.2 1191.7  -52.3
    67.9  199.8 -346.7  200.5 -0.905  0.140 -0.447 45.2 1181.3  -51.1
    68.0  209.9 -364.0  220.5 -0.905  0.123 -0.447 45.2 1179.9  -46.7
    68.4  219.8 -381.3  240.4 -0.905  0.105 -0.449 45.1 1171.6  -37.7
    68.5  229.9 -398.7  260.6 -0.902  0.094 -0.450 45.2 1167.6  -38.1
    68.7  239.8 -415.9  280.4 -0.899  0.085 -0.455 45.1 1160.9  -35.8
    68.8  249.9 -433.3  300.5 -0.901  0.075 -0.456 45.2 1167.6  -32.7
    69.1  259.8 -450.6  320.4 -0.899  0.067 -0.461 45.1 1164.1  -35.6
    69.3  269.8 -467.9  340.4 -0.901  0.055 -0.462 45.2 1171.6  -31.6
