## Nomenclature:
# PHI      Circumferential model angle
# CF       Wall shear stress coefficient (= local wall shear stress
#                       normalized with free stream dynamic pressure)
# GAMMA    Wall shear stress angle
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   GOETTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    3MX3M LOW SPEED WIND TUNNEL              NATURAL TRANSITION
# 
#    RUN: 5 104 7                             INCIDENCE  ALPHA= 29.7 DEG.
# 
#    VELOCITY  UINF= 45.0 M/S                 REYNOLDS N0.  RE= 0.654E+07
# 
#    MEASURING STATION:    NO.  6  ,  X0/2A= 0.480
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -5.0  0.00131 -13.3    
   -3.4  0.00134 -10.3    
   -1.8  0.00137  -6.8    
   -0.2  0.00140  -3.8    
    1.4  0.00142  -0.5    
    3.0  0.00144   2.5    
    4.6  0.00147   5.6    
    6.2  0.00149   8.9    
    7.8  0.00152  11.4    
    9.4  0.00153  14.2    
   11.0  0.00156  17.0    
   12.6  0.00157  19.6    
   14.2  0.00158  22.3    
   15.8  0.00160  24.8    
   17.4  0.00162  26.6    
   19.0  0.00165  28.8    
   20.6  0.00166  31.1    
   22.2  0.00169  33.1    
   23.8  0.00170  35.0    
   25.4  0.00168  37.0    
   27.0  0.00170  38.9    
   28.6  0.00171  40.7    
   30.2  0.00173  42.4    
   31.8  0.00175  43.9    
   33.4  0.00177  45.4    
   35.0  0.00177  46.7    
   36.6  0.00180  47.7    
   38.2  0.00182  48.7    
   39.8  0.00187  49.5    
   41.4  0.00192  50.2    
   43.0  0.00196  51.2    
   44.6  0.00201  51.5    
   46.2  0.00209  51.3    
   47.8  0.00215  51.2    
   49.4  0.00231  49.9    
   51.0  0.00251  48.5    
   52.6  0.00284  46.1    
   54.2  0.00353  44.3    
   55.8  0.00401  42.6    
   57.4  0.00468  44.2    
   59.0  0.00518  43.6    
   60.6  0.00567  44.4    
   62.2  0.00615  45.5    
   63.8  0.00628  45.7    
   65.4  0.00646  45.9    
   67.0  0.00651  46.0    
   68.6  0.00648  46.4    
   70.2  0.00652  46.8    
   71.8  0.00645  47.0    
   73.4  0.00642  47.1    
   75.0  0.00645  47.1    
   76.6  0.00635  47.1    
   78.2  0.00634  47.3    
   79.8  0.00623  47.1    
   81.4  0.00618  47.1    
   83.0  0.00614  46.9    
   84.6  0.00609  46.9    
   86.2  0.00602  46.7    
   87.8  0.00595  46.5    
   89.4  0.00587  46.2    
   91.0  0.00577  46.0    
   92.6  0.00573  45.6    
   94.2  0.00565  45.1    
   95.8  0.00554  44.5    
   97.4  0.00547  43.9    
   99.0  0.00538  43.4    
  100.6  0.00524  42.7    
  102.2  0.00512  42.0    
  103.8  0.00507  40.7    
  105.4  0.00486  39.9    
  107.0  0.00477  38.8    
  108.6  0.00465  37.4    
  110.2  0.00451  36.1    
  111.8  0.00433  34.1    
  114.2  0.00411  31.4    
  115.0  0.00388  28.1    
  116.6  0.00371  25.7    
  118.2  0.00344  22.9    
  119.8  0.00307  17.9    
  121.4  0.00265  12.4    
  123.0  0.00228   8.3
  125.4  0.00184   3.0
  126.2  0.00148  -0.1
  127.8  0.00126  -5.6
  129.4  0.00130 -13.7
  131.0  0.00157 -16.0
  132.6  0.00196 -14.1
  132.6  0.00202 -13.9
  134.2  0.00245 -12.0
  135.8  0.00287 -10.9
  137.4  0.00316 -10.2
  139.0  0.00325  -8.1
  140.6  0.00330  -4.9
  142.2  0.00332   0.5
  143.8  0.00340   5.7
  145.4  0.00346  10.7
  147.0  0.00341  11.6
  148.6  0.00329  10.7
  150.2  0.00309   4.0
  151.8  0.00360  -7.3
  153.4  0.00456 -14.2
  155.0  0.00523 -24.5
  156.6  0.00557 -30.0
  158.2  0.00613 -27.1
  159.8  0.00664 -23.2
  161.4  0.00678 -21.3
  163.0  0.00674 -20.8
  164.6  0.00645 -21.7
  166.2  0.00581 -23.6
  167.8  0.00500 -27.3
  169.4  0.00466 -26.8
  171.0  0.00469 -21.9
  172.6  0.00475 -15.8
  172.6  0.00476 -15.2
  174.2  0.00487  -9.6
  175.8  0.00485  -6.0
  177.4  0.00482  -3.2
  179.0  0.00482  -1.6
  180.6  0.00485   0.1
  182.2  0.00486   1.4
  183.8  0.00495   2.8
