## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  188    X0/2A= 0.4839    PHI= 145.1    RE= 6.48E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   -38.6  120.4 -173.2   11.0 -0.909 -0.259  0.115 45.0 1033.7 -185.5
   -38.6  123.2 -177.2   15.9 -0.998 -0.276  0.017 45.0 1224.5 -189.6
   -38.6  126.1 -181.4   21.0 -0.957 -0.207 -0.120 45.1 1110.4 -173.8
   -38.6  129.0 -185.4   26.0 -0.794 -0.075 -0.244 45.1  794.7 -135.7
   -38.7  131.8 -189.5   30.9 -0.743  0.100 -0.387 45.1  814.2 -225.4
   -38.7  134.7 -193.7   36.0 -0.829  0.208 -0.549 45.0 1176.9 -236.3
   -38.7  137.6 -197.7   41.0 -0.871  0.234 -0.626 45.0 1371.8 -273.1
   -38.7  143.4 -205.9   51.0 -0.877  0.273 -0.621 45.0 1396.6 -257.8
   -38.7  149.1 -214.2   61.1 -0.882  0.283 -0.591 45.0 1370.5 -226.7
   -38.7  154.8 -222.4   71.1 -0.882  0.280 -0.571 45.0 1347.3 -200.5
   -38.8  160.6 -230.5   81.0 -0.888  0.274 -0.546 45.0 1320.2 -179.2
   -38.8  166.2 -238.7   91.0 -0.892  0.258 -0.524 44.9 1289.0 -151.9
   -38.8  172.0 -246.9  101.0 -0.895  0.245 -0.516 45.0 1281.7 -142.0
   -38.8  177.7 -255.2  111.1 -0.900  0.226 -0.501 45.1 1272.3 -128.3
   -38.8  183.4 -263.4  121.1 -0.905  0.210 -0.493 45.0 1259.8 -120.5
   -38.9  189.1 -271.5  131.0 -0.903  0.197 -0.494 45.0 1250.9 -113.5
   -38.9  194.8 -279.7  141.0 -0.907  0.180 -0.483 45.1 1246.2 -104.2
   -38.9  206.4 -296.2  161.1 -0.905  0.159 -0.480 45.1 1227.9  -91.3
   -39.0  217.9 -312.5  181.1 -0.904  0.140 -0.477 45.0 1213.7  -84.2
   -39.0  229.3 -329.0  201.1 -0.904  0.121 -0.473 44.9 1200.3  -74.3
   -39.2  240.7 -345.3  221.0 -0.903  0.108 -0.474 44.9 1194.3  -67.9
   -39.2  252.3 -361.6  241.0 -0.903  0.093 -0.472 45.0 1195.8  -64.9
   -39.3  263.8 -378.1  261.1 -0.898  0.084 -0.479 45.0 1190.3  -63.0
   -39.4  275.2 -394.5  281.1 -0.902  0.076 -0.474 45.1 1193.2  -56.0
   -39.6  286.7 -410.8  301.1 -0.904  0.065 -0.475 45.1 1196.3  -53.0
   -39.6  298.2 -427.2  321.1 -0.900  0.059 -0.482 45.1 1194.6  -54.0
   -39.7  309.6 -443.6  341.1 -0.900  0.053 -0.480 45.1 1191.1  -56.3
